onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	11	instruction	1	124	narrative	R
23	8	clip	1	124	narrative	R
36	7	instruction	0	120	narrative	F
43	8	clip	0	120	narrative	F
56	9	instruction	1	10	narrative	R
65	8	clip	1	10	narrative	R
78	7	instruction	0	157	control	control
85	8	clip	0	157	control	control
98	7	instruction	1	145	control	control
105	8	clip	1	145	control	control
118	7	instruction	1	143	control	control
125	8	clip	1	143	control	control
138	11	instruction	1	133	narrative	R
149	8	clip	1	133	narrative	R
162	9	instruction	1	113	narrative	R
171	8	clip	1	113	narrative	R
184	7	instruction	0	151	control	control
191	8	clip	0	151	control	control
204	9	instruction	0	48	narrative	R
213	8	clip	0	48	narrative	R
226	11	instruction	0	119	narrative	F
237	8	clip	0	119	narrative	F
250	11	instruction	0	103	narrative	R
261	8	clip	0	103	narrative	R
274	7	instruction	0	156	control	control
281	8	clip	0	156	control	control
294	7	instruction	0	108	narrative	F
301	8	clip	0	108	narrative	F
314	11	instruction	1	127	narrative	R
325	8	clip	1	127	narrative	R
338	7	instruction	0	153	control	control
345	8	clip	0	153	control	control
358	9	instruction	0	158	control	control
367	8	clip	0	158	control	control
380	7	instruction	1	149	control	control
387	8	clip	1	149	control	control
400	7	instruction	1	148	control	control
407	8	clip	1	148	control	control
420	7	instruction	0	154	control	control
427	8	clip	0	154	control	control
440	7	instruction	1	147	control	control
447	8	clip	1	147	control	control
460	7	instruction	1	144	control	control
467	8	clip	1	144	control	control
480	11	instruction	1	111	narrative	R
491	8	clip	1	111	narrative	R
504	7	instruction	0	155	control	control
511	8	clip	0	155	control	control
524	9	instruction	0	160	control	control
533	8	clip	0	160	control	control
546	7	instruction	0	152	control	control
553	8	clip	0	152	control	control
566	11	instruction	1	116	narrative	R
577	8	clip	1	116	narrative	R
590	7	instruction	1	141	control	control
597	8	clip	1	141	control	control
610	7	instruction	1	146	control	control
617	8	clip	1	146	control	control
630	11	instruction	0	131	narrative	R
641	8	clip	0	131	narrative	R
654	9	instruction	1	117	narrative	F
663	8	clip	1	117	narrative	F
676	7	instruction	1	150	control	control
683	8	clip	1	150	control	control
696	9	instruction	1	107	narrative	R
705	8	clip	1	107	narrative	R
718	9	instruction	0	15	narrative	F
727	8	clip	0	15	narrative	F
740	7	instruction	0	137	narrative	X
747	8	clip	0	137	narrative	X
760	9	instruction	1	95	narrative	R
769	8	clip	1	95	narrative	R
782	11	instruction	0	132	narrative	F
793	8	clip	0	132	narrative	F
806	7	instruction	1	142	control	control
813	8	clip	1	142	control	control
826	9	instruction	0	159	control	control
835	8	clip	0	159	control	control
848	11	instruction	0	118	narrative	F
859	8	clip	0	118	narrative	F
