onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	126	narrative	X
19	8	clip	1	126	narrative	X
32	9	instruction	0	119	narrative	F
41	8	clip	0	119	narrative	F
54	9	instruction	1	120	narrative	F
63	8	clip	1	120	narrative	F
76	11	instruction	1	147	control	control
87	8	clip	1	147	control	control
100	11	instruction	1	146	control	control
111	8	clip	1	146	control	control
124	7	instruction	0	129	narrative	F
131	8	clip	0	129	narrative	F
144	7	instruction	0	123	narrative	F
151	8	clip	0	123	narrative	F
164	7	instruction	1	135	narrative	F
171	8	clip	1	135	narrative	F
184	7	instruction	0	140	narrative	F
191	8	clip	0	140	narrative	F
204	7	instruction	0	112	narrative	F
211	8	clip	0	112	narrative	F
224	7	instruction	1	114	narrative	R
231	8	clip	1	114	narrative	R
244	7	instruction	1	106	narrative	F
251	8	clip	1	106	narrative	F
264	11	instruction	0	150	control	control
275	8	clip	0	150	control	control
288	7	instruction	0	138	narrative	F
295	8	clip	0	138	narrative	F
308	9	instruction	0	111	narrative	F
317	8	clip	0	111	narrative	F
330	7	instruction	0	110	narrative	R
337	8	clip	0	110	narrative	R
350	7	instruction	1	128	narrative	F
357	8	clip	1	128	narrative	F
370	7	instruction	0	136	narrative	F
377	8	clip	0	136	narrative	F
390	9	instruction	1	107	narrative	R
399	8	clip	1	107	narrative	R
412	9	instruction	0	117	narrative	F
421	8	clip	0	117	narrative	F
434	11	instruction	1	133	narrative	F
445	8	clip	1	133	narrative	F
458	7	instruction	1	130	narrative	R
465	8	clip	1	130	narrative	R
478	11	instruction	1	132	narrative	F
489	8	clip	1	132	narrative	F
502	9	instruction	1	137	narrative	F
511	8	clip	1	137	narrative	F
524	7	instruction	0	134	narrative	R
531	8	clip	0	134	narrative	R
544	7	instruction	1	115	narrative	R
551	8	clip	1	115	narrative	R
564	7	instruction	0	139	narrative	F
571	8	clip	0	139	narrative	F
584	7	instruction	1	122	narrative	F
591	8	clip	1	122	narrative	F
604	7	instruction	0	109	narrative	F
611	8	clip	0	109	narrative	F
624	9	instruction	1	108	narrative	F
633	8	clip	1	108	narrative	F
646	7	instruction	1	125	narrative	F
653	8	clip	1	125	narrative	F
666	9	instruction	0	118	narrative	F
675	8	clip	0	118	narrative	F
688	11	instruction	0	149	control	control
699	8	clip	0	149	control	control
712	9	instruction	0	116	narrative	R
721	8	clip	0	116	narrative	R
734	7	instruction	1	121	narrative	F
741	8	clip	1	121	narrative	F
754	11	instruction	0	124	narrative	F
765	8	clip	0	124	narrative	F
778	11	instruction	0	127	narrative	F
789	8	clip	0	127	narrative	F
802	9	instruction	1	113	narrative	R
811	8	clip	1	113	narrative	R
824	11	instruction	0	148	control	control
835	8	clip	0	148	control	control
848	11	instruction	1	131	narrative	F
859	8	clip	1	131	narrative	F
