onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	92	narrative	F
19	8	clip	1	92	narrative	F
32	7	instruction	0	79	narrative	R
39	8	clip	0	79	narrative	R
52	9	instruction	0	80	narrative	F
61	8	clip	0	80	narrative	F
74	9	instruction	0	85	narrative	F
83	8	clip	0	85	narrative	F
96	7	instruction	1	94	narrative	R
103	8	clip	1	94	narrative	R
116	11	instruction	0	154	control	control
127	8	clip	0	154	control	control
140	11	instruction	1	151	control	control
151	8	clip	1	151	control	control
164	7	instruction	1	90	narrative	R
171	8	clip	1	90	narrative	R
184	11	instruction	1	153	control	control
195	8	clip	1	153	control	control
208	7	instruction	1	99	narrative	R
215	8	clip	1	99	narrative	R
228	11	instruction	0	155	control	control
239	8	clip	0	155	control	control
252	11	instruction	0	103	narrative	R
263	8	clip	0	103	narrative	R
276	11	instruction	1	152	control	control
287	8	clip	1	152	control	control
300	7	instruction	1	93	narrative	R
307	8	clip	1	93	narrative	R
320	7	instruction	0	98	narrative	R
327	8	clip	0	98	narrative	R
340	7	instruction	0	86	narrative	X
347	8	clip	0	86	narrative	X
360	9	instruction	1	82	narrative	R
369	8	clip	1	82	narrative	R
382	7	instruction	1	105	narrative	R
389	8	clip	1	105	narrative	R
402	9	instruction	1	72	narrative	R
411	8	clip	1	72	narrative	R
424	7	instruction	0	87	narrative	R
431	8	clip	0	87	narrative	R
444	7	instruction	1	104	narrative	R
451	8	clip	1	104	narrative	R
464	11	instruction	1	100	narrative	F
475	8	clip	1	100	narrative	F
488	7	instruction	0	76	narrative	R
495	8	clip	0	76	narrative	R
508	7	instruction	0	88	narrative	R
515	8	clip	0	88	narrative	R
528	9	instruction	1	96	narrative	X
537	8	clip	1	96	narrative	X
550	9	instruction	0	81	narrative	X
559	8	clip	0	81	narrative	X
572	9	instruction	1	97	narrative	R
581	8	clip	1	97	narrative	R
594	7	instruction	0	78	narrative	R
601	8	clip	0	78	narrative	R
614	9	instruction	1	83	narrative	R
623	8	clip	1	83	narrative	R
636	7	instruction	0	71	narrative	F
643	8	clip	0	71	narrative	F
656	11	instruction	0	73	narrative	F
667	8	clip	0	73	narrative	F
680	7	instruction	0	102	narrative	F
687	8	clip	0	102	narrative	F
700	7	instruction	1	75	narrative	F
707	8	clip	1	75	narrative	F
720	7	instruction	1	91	narrative	R
727	8	clip	1	91	narrative	R
740	7	instruction	1	89	narrative	F
747	8	clip	1	89	narrative	F
760	9	instruction	0	74	narrative	F
769	8	clip	0	74	narrative	F
782	7	instruction	0	77	narrative	R
789	8	clip	0	77	narrative	R
802	11	instruction	0	95	narrative	F
813	8	clip	0	95	narrative	F
826	11	instruction	1	101	narrative	R
837	8	clip	1	101	narrative	R
850	9	instruction	0	84	narrative	F
859	8	clip	0	84	narrative	F
