onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	47	narrative	F
19	8	clip	1	47	narrative	F
32	7	instruction	0	92	narrative	F
39	8	clip	0	92	narrative	F
52	9	instruction	0	106	narrative	F
61	8	clip	0	106	narrative	F
74	11	instruction	0	79	narrative	F
85	8	clip	0	79	narrative	F
98	11	instruction	1	14	narrative	F
109	8	clip	1	14	narrative	F
122	11	instruction	0	91	narrative	F
133	8	clip	0	91	narrative	F
146	7	instruction	0	94	narrative	R
153	8	clip	0	94	narrative	R
166	11	instruction	1	13	narrative	F
177	8	clip	1	13	narrative	F
190	11	instruction	0	135	narrative	F
201	8	clip	0	135	narrative	F
214	7	instruction	1	115	narrative	R
221	8	clip	1	115	narrative	R
234	9	instruction	0	20	narrative	F
243	8	clip	0	20	narrative	F
256	9	instruction	0	33	narrative	R
265	8	clip	0	33	narrative	R
278	11	instruction	1	16	narrative	F
289	8	clip	1	16	narrative	F
302	7	instruction	1	99	narrative	F
309	8	clip	1	99	narrative	F
322	7	instruction	1	30	narrative	R
329	8	clip	1	30	narrative	R
342	7	instruction	0	35	narrative	F
349	8	clip	0	35	narrative	F
362	11	instruction	1	1	narrative	R
373	8	clip	1	1	narrative	R
386	7	instruction	1	68	narrative	X
393	8	clip	1	68	narrative	X
406	7	instruction	0	93	narrative	F
413	8	clip	0	93	narrative	F
426	7	instruction	0	18	narrative	F
433	8	clip	0	18	narrative	F
446	7	instruction	1	3	narrative	F
453	8	clip	1	3	narrative	F
466	7	instruction	1	114	narrative	R
473	8	clip	1	114	narrative	R
486	11	instruction	0	128	narrative	F
497	8	clip	0	128	narrative	F
510	7	instruction	1	130	narrative	F
517	8	clip	1	130	narrative	F
530	9	instruction	1	2	narrative	R
539	8	clip	1	2	narrative	R
552	7	instruction	0	75	narrative	F
559	8	clip	0	75	narrative	F
572	7	instruction	1	12	narrative	F
579	8	clip	1	12	narrative	F
592	9	instruction	1	25	narrative	R
601	8	clip	1	25	narrative	R
614	7	instruction	0	11	narrative	F
621	8	clip	0	11	narrative	F
634	9	instruction	1	9	narrative	R
643	8	clip	1	9	narrative	R
656	7	instruction	1	31	narrative	R
663	8	clip	1	31	narrative	R
676	9	instruction	1	104	narrative	F
685	8	clip	1	104	narrative	F
698	7	instruction	0	8	narrative	F
705	8	clip	0	8	narrative	F
718	7	instruction	0	36	narrative	F
725	8	clip	0	36	narrative	F
738	11	instruction	0	90	narrative	F
749	8	clip	0	90	narrative	F
762	11	instruction	1	17	narrative	F
773	8	clip	1	17	narrative	F
786	9	instruction	0	105	narrative	F
795	8	clip	0	105	narrative	F
808	9	instruction	0	34	narrative	F
817	8	clip	0	34	narrative	F
830	9	instruction	1	26	narrative	F
839	8	clip	1	26	narrative	F
852	7	instruction	0	89	narrative	F
859	8	clip	0	89	narrative	F
