onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	11	instruction	0	155	control	control
23	8	clip	0	155	control	control
36	7	instruction	0	122	narrative	F
43	8	clip	0	122	narrative	F
56	9	instruction	0	120	narrative	F
65	8	clip	0	120	narrative	F
78	7	instruction	0	135	narrative	R
85	8	clip	0	135	narrative	R
98	11	instruction	0	154	control	control
109	8	clip	0	154	control	control
122	11	instruction	0	133	narrative	F
133	8	clip	0	133	narrative	F
146	11	instruction	0	132	narrative	F
157	8	clip	0	132	narrative	F
170	11	instruction	0	131	narrative	F
181	8	clip	0	131	narrative	F
194	7	instruction	0	121	narrative	F
201	8	clip	0	121	narrative	F
214	11	instruction	1	152	control	control
225	8	clip	1	152	control	control
238	9	instruction	0	137	narrative	F
247	8	clip	0	137	narrative	F
260	9	instruction	1	111	narrative	F
269	8	clip	1	111	narrative	F
282	7	instruction	1	134	narrative	F
289	8	clip	1	134	narrative	F
302	9	instruction	1	117	narrative	F
311	8	clip	1	117	narrative	F
324	11	instruction	1	151	control	control
335	8	clip	1	151	control	control
348	7	instruction	1	110	narrative	F
355	8	clip	1	110	narrative	F
368	7	instruction	0	115	narrative	X
375	8	clip	0	115	narrative	X
388	9	instruction	1	119	narrative	F
397	8	clip	1	119	narrative	F
410	11	instruction	1	124	narrative	F
421	8	clip	1	124	narrative	F
434	7	instruction	1	129	narrative	R
441	8	clip	1	129	narrative	R
454	7	instruction	0	128	narrative	X
461	8	clip	0	128	narrative	X
474	7	instruction	0	125	narrative	F
481	8	clip	0	125	narrative	F
494	9	instruction	0	107	narrative	F
503	8	clip	0	107	narrative	F
516	7	instruction	1	109	narrative	X
523	8	clip	1	109	narrative	X
536	11	instruction	1	127	narrative	F
547	8	clip	1	127	narrative	F
560	9	instruction	1	116	narrative	F
569	8	clip	1	116	narrative	F
582	7	instruction	1	140	narrative	F
589	8	clip	1	140	narrative	F
602	9	instruction	1	118	narrative	F
611	8	clip	1	118	narrative	F
624	7	instruction	0	106	narrative	F
631	8	clip	0	106	narrative	F
644	7	instruction	1	138	narrative	X
651	8	clip	1	138	narrative	X
664	7	instruction	0	126	narrative	F
671	8	clip	0	126	narrative	F
684	7	instruction	1	136	narrative	F
691	8	clip	1	136	narrative	F
704	9	instruction	0	108	narrative	F
713	8	clip	0	108	narrative	F
726	11	instruction	1	153	control	control
737	8	clip	1	153	control	control
750	7	instruction	1	139	narrative	X
757	8	clip	1	139	narrative	X
770	7	instruction	0	130	narrative	X
777	8	clip	0	130	narrative	X
790	7	instruction	1	123	narrative	F
797	8	clip	1	123	narrative	F
810	7	instruction	1	112	narrative	F
817	8	clip	1	112	narrative	F
830	9	instruction	0	113	narrative	R
839	8	clip	0	113	narrative	R
852	7	instruction	0	114	narrative	X
859	8	clip	0	114	narrative	X
