onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	0	92	narrative	R
19	8	clip	0	92	narrative	R
32	7	instruction	0	90	narrative	R
39	8	clip	0	90	narrative	R
52	9	instruction	0	72	narrative	X
61	8	clip	0	72	narrative	X
74	7	instruction	1	86	narrative	F
81	8	clip	1	86	narrative	F
94	7	instruction	0	91	narrative	F
101	8	clip	0	91	narrative	F
114	11	instruction	0	143	control	control
125	8	clip	0	143	control	control
138	9	instruction	0	82	narrative	R
147	8	clip	0	82	narrative	R
160	7	instruction	1	71	narrative	F
167	8	clip	1	71	narrative	F
180	9	instruction	0	97	narrative	X
189	8	clip	0	97	narrative	X
202	11	instruction	1	73	narrative	R
213	8	clip	1	73	narrative	R
226	11	instruction	1	142	control	control
237	8	clip	1	142	control	control
250	11	instruction	1	95	narrative	R
261	8	clip	1	95	narrative	R
274	11	instruction	1	103	narrative	F
285	8	clip	1	103	narrative	F
298	11	instruction	0	100	narrative	F
309	8	clip	0	100	narrative	F
322	7	instruction	1	87	narrative	R
329	8	clip	1	87	narrative	R
342	7	instruction	1	77	narrative	F
349	8	clip	1	77	narrative	F
362	11	instruction	0	144	control	control
373	8	clip	0	144	control	control
386	7	instruction	1	79	narrative	R
393	8	clip	1	79	narrative	R
406	9	instruction	1	85	narrative	X
415	8	clip	1	85	narrative	X
428	7	instruction	0	99	narrative	F
435	8	clip	0	99	narrative	F
448	11	instruction	0	101	narrative	F
459	8	clip	0	101	narrative	F
472	7	instruction	1	76	narrative	R
479	8	clip	1	76	narrative	R
492	7	instruction	0	94	narrative	X
499	8	clip	0	94	narrative	X
512	7	instruction	1	102	narrative	F
519	8	clip	1	102	narrative	F
532	7	instruction	0	105	narrative	R
539	8	clip	0	105	narrative	R
552	9	instruction	1	81	narrative	X
561	8	clip	1	81	narrative	X
574	9	instruction	1	84	narrative	F
583	8	clip	1	84	narrative	F
596	11	instruction	0	145	control	control
607	8	clip	0	145	control	control
620	9	instruction	0	96	narrative	F
629	8	clip	0	96	narrative	F
642	7	instruction	0	104	narrative	F
649	8	clip	0	104	narrative	F
662	9	instruction	1	80	narrative	F
671	8	clip	1	80	narrative	F
684	7	instruction	0	93	narrative	F
691	8	clip	0	93	narrative	F
704	9	instruction	0	83	narrative	F
713	8	clip	0	83	narrative	F
726	11	instruction	1	141	control	control
737	8	clip	1	141	control	control
750	7	instruction	0	75	narrative	F
757	8	clip	0	75	narrative	F
770	9	instruction	1	74	narrative	F
779	8	clip	1	74	narrative	F
792	7	instruction	1	78	narrative	F
799	8	clip	1	78	narrative	F
812	7	instruction	1	88	narrative	F
819	8	clip	1	88	narrative	F
832	7	instruction	0	89	narrative	F
839	8	clip	0	89	narrative	F
852	7	instruction	1	98	narrative	F
859	8	clip	1	98	narrative	F
