onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	0	33	narrative	R
19	8	clip	0	33	narrative	R
32	7	instruction	0	20	narrative	F
39	8	clip	0	20	narrative	F
52	7	instruction	1	11	narrative	R
59	8	clip	1	11	narrative	R
72	9	instruction	1	6	narrative	R
81	8	clip	1	6	narrative	R
94	7	instruction	1	9	narrative	R
101	8	clip	1	9	narrative	R
114	9	instruction	1	7	narrative	F
123	8	clip	1	7	narrative	F
136	7	instruction	1	2	narrative	R
143	8	clip	1	2	narrative	R
156	7	instruction	0	17	narrative	R
163	8	clip	0	17	narrative	R
176	7	instruction	1	8	narrative	R
183	8	clip	1	8	narrative	R
196	11	instruction	0	154	control	control
207	8	clip	0	154	control	control
220	11	instruction	1	4	narrative	R
231	8	clip	1	4	narrative	R
244	11	instruction	1	29	narrative	R
255	8	clip	1	29	narrative	R
268	9	instruction	0	22	narrative	R
277	8	clip	0	22	narrative	R
290	7	instruction	1	3	narrative	R
297	8	clip	1	3	narrative	R
310	11	instruction	0	10	narrative	R
321	8	clip	0	10	narrative	R
334	9	instruction	0	19	narrative	F
343	8	clip	0	19	narrative	F
356	9	instruction	0	23	narrative	R
365	8	clip	0	23	narrative	R
378	9	instruction	0	32	narrative	F
387	8	clip	0	32	narrative	F
400	7	instruction	1	30	narrative	R
407	8	clip	1	30	narrative	R
420	9	instruction	0	24	narrative	F
429	8	clip	0	24	narrative	F
442	7	instruction	0	25	narrative	R
449	8	clip	0	25	narrative	R
462	9	instruction	1	5	narrative	F
471	8	clip	1	5	narrative	F
484	7	instruction	0	16	narrative	R
491	8	clip	0	16	narrative	R
504	11	instruction	1	153	control	control
515	8	clip	1	153	control	control
528	9	instruction	1	28	narrative	R
537	8	clip	1	28	narrative	R
550	7	instruction	1	18	narrative	R
557	8	clip	1	18	narrative	R
570	11	instruction	1	151	control	control
581	8	clip	1	151	control	control
594	9	instruction	1	27	narrative	R
603	8	clip	1	27	narrative	R
616	7	instruction	0	1	narrative	R
623	8	clip	0	1	narrative	R
636	11	instruction	0	21	narrative	F
647	8	clip	0	21	narrative	F
660	7	instruction	1	35	narrative	F
667	8	clip	1	35	narrative	F
680	11	instruction	0	155	control	control
691	8	clip	0	155	control	control
704	7	instruction	0	13	narrative	F
711	8	clip	0	13	narrative	F
724	7	instruction	0	14	narrative	F
731	8	clip	0	14	narrative	F
744	7	instruction	1	31	narrative	R
751	8	clip	1	31	narrative	R
764	11	instruction	0	15	narrative	F
775	8	clip	0	15	narrative	F
788	7	instruction	0	26	narrative	R
795	8	clip	0	26	narrative	R
808	7	instruction	0	34	narrative	R
815	8	clip	0	34	narrative	R
828	7	instruction	1	12	narrative	R
835	8	clip	1	12	narrative	R
848	11	instruction	1	152	control	control
859	8	clip	1	152	control	control
