onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	9	instruction	0	66	narrative	R
21	8	clip	0	66	narrative	R
34	7	instruction	1	40	narrative	R
41	8	clip	1	40	narrative	R
54	7	instruction	0	43	narrative	R
61	8	clip	0	43	narrative	R
74	7	instruction	1	44	narrative	F
81	8	clip	1	44	narrative	F
94	7	instruction	0	41	narrative	F
101	8	clip	0	41	narrative	F
114	9	instruction	0	61	narrative	X
123	8	clip	0	61	narrative	X
136	9	instruction	0	67	narrative	F
145	8	clip	0	67	narrative	F
158	9	instruction	1	60	narrative	R
167	8	clip	1	60	narrative	R
180	11	instruction	0	143	control	control
191	8	clip	0	143	control	control
204	9	instruction	1	55	narrative	F
213	8	clip	1	55	narrative	F
226	7	instruction	0	51	narrative	F
233	8	clip	0	51	narrative	F
246	11	instruction	1	141	control	control
257	8	clip	1	141	control	control
270	11	instruction	0	145	control	control
281	8	clip	0	145	control	control
294	7	instruction	1	36	narrative	F
301	8	clip	1	36	narrative	F
314	7	instruction	0	53	narrative	F
321	8	clip	0	53	narrative	F
334	9	instruction	1	57	narrative	X
343	8	clip	1	57	narrative	X
356	7	instruction	0	52	narrative	F
363	8	clip	0	52	narrative	F
376	7	instruction	0	37	narrative	F
383	8	clip	0	37	narrative	F
396	9	instruction	1	58	narrative	R
405	8	clip	1	58	narrative	R
418	7	instruction	1	45	narrative	R
425	8	clip	1	45	narrative	R
438	7	instruction	0	59	narrative	R
445	8	clip	0	59	narrative	R
458	7	instruction	0	54	narrative	F
465	8	clip	0	54	narrative	F
478	11	instruction	1	64	narrative	R
489	8	clip	1	64	narrative	R
502	7	instruction	1	38	narrative	R
509	8	clip	1	38	narrative	R
522	11	instruction	0	70	narrative	R
533	8	clip	0	70	narrative	R
546	9	instruction	0	65	narrative	R
555	8	clip	0	65	narrative	R
568	11	instruction	1	63	narrative	R
579	8	clip	1	63	narrative	R
592	11	instruction	1	69	narrative	F
603	8	clip	1	69	narrative	F
616	7	instruction	0	42	narrative	R
623	8	clip	0	42	narrative	R
636	11	instruction	1	142	control	control
647	8	clip	1	142	control	control
660	7	instruction	1	39	narrative	R
667	8	clip	1	39	narrative	R
680	7	instruction	1	49	narrative	R
687	8	clip	1	49	narrative	R
700	7	instruction	0	50	narrative	R
707	8	clip	0	50	narrative	R
720	9	instruction	1	56	narrative	R
729	8	clip	1	56	narrative	R
742	11	instruction	0	144	control	control
753	8	clip	0	144	control	control
766	9	instruction	0	62	narrative	R
775	8	clip	0	62	narrative	R
788	7	instruction	1	46	narrative	R
795	8	clip	1	46	narrative	R
808	7	instruction	1	47	narrative	R
815	8	clip	1	47	narrative	R
828	7	instruction	1	68	narrative	F
835	8	clip	1	68	narrative	F
848	11	instruction	0	48	narrative	R
859	8	clip	0	48	narrative	R
