onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	11	instruction	1	148	control	control
23	8	clip	1	148	control	control
36	9	instruction	0	84	narrative	F
45	8	clip	0	84	narrative	F
58	9	instruction	0	81	narrative	F
67	8	clip	0	81	narrative	F
80	11	instruction	0	73	narrative	F
91	8	clip	0	73	narrative	F
104	7	instruction	1	92	narrative	R
111	8	clip	1	92	narrative	R
124	11	instruction	0	103	narrative	R
135	8	clip	0	103	narrative	R
148	9	instruction	0	74	narrative	X
157	8	clip	0	74	narrative	X
170	7	instruction	0	77	narrative	X
177	8	clip	0	77	narrative	X
190	7	instruction	1	99	narrative	R
197	8	clip	1	99	narrative	R
210	7	instruction	1	94	narrative	R
217	8	clip	1	94	narrative	R
230	11	instruction	0	95	narrative	R
241	8	clip	0	95	narrative	R
254	11	instruction	1	100	narrative	R
265	8	clip	1	100	narrative	R
278	7	instruction	1	91	narrative	R
285	8	clip	1	91	narrative	R
298	11	instruction	1	146	control	control
309	8	clip	1	146	control	control
322	9	instruction	0	85	narrative	F
331	8	clip	0	85	narrative	F
344	7	instruction	1	93	narrative	R
351	8	clip	1	93	narrative	R
364	7	instruction	0	79	narrative	R
371	8	clip	0	79	narrative	R
384	7	instruction	1	104	narrative	R
391	8	clip	1	104	narrative	R
404	7	instruction	0	86	narrative	R
411	8	clip	0	86	narrative	R
424	7	instruction	1	75	narrative	R
431	8	clip	1	75	narrative	R
444	7	instruction	1	90	narrative	X
451	8	clip	1	90	narrative	X
464	7	instruction	0	76	narrative	F
471	8	clip	0	76	narrative	F
484	9	instruction	1	97	narrative	R
493	8	clip	1	97	narrative	R
506	7	instruction	0	71	narrative	F
513	8	clip	0	71	narrative	F
526	9	instruction	1	82	narrative	R
535	8	clip	1	82	narrative	R
548	11	instruction	0	149	control	control
559	8	clip	0	149	control	control
572	9	instruction	0	80	narrative	F
581	8	clip	0	80	narrative	F
594	7	instruction	1	89	narrative	F
601	8	clip	1	89	narrative	F
614	7	instruction	1	105	narrative	F
621	8	clip	1	105	narrative	F
634	7	instruction	0	102	narrative	R
641	8	clip	0	102	narrative	R
654	7	instruction	0	98	narrative	F
661	8	clip	0	98	narrative	F
674	9	instruction	1	96	narrative	R
683	8	clip	1	96	narrative	R
696	7	instruction	0	87	narrative	R
703	8	clip	0	87	narrative	R
716	7	instruction	0	88	narrative	X
723	8	clip	0	88	narrative	X
736	7	instruction	0	78	narrative	R
743	8	clip	0	78	narrative	R
756	11	instruction	1	147	control	control
767	8	clip	1	147	control	control
780	11	instruction	1	101	narrative	F
791	8	clip	1	101	narrative	F
804	9	instruction	1	72	narrative	R
813	8	clip	1	72	narrative	R
826	11	instruction	0	150	control	control
837	8	clip	0	150	control	control
850	9	instruction	1	83	narrative	R
859	8	clip	1	83	narrative	R
