onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	9	instruction	0	116	narrative	R
21	8	clip	0	116	narrative	R
34	7	instruction	0	123	narrative	F
41	8	clip	0	123	narrative	F
54	7	instruction	1	115	narrative	R
61	8	clip	1	115	narrative	R
74	11	instruction	0	159	control	control
85	8	clip	0	159	control	control
98	7	instruction	1	130	narrative	R
105	8	clip	1	130	narrative	R
118	7	instruction	1	125	narrative	R
125	8	clip	1	125	narrative	R
138	7	instruction	1	121	narrative	R
145	8	clip	1	121	narrative	R
158	11	instruction	0	124	narrative	F
169	8	clip	0	124	narrative	F
182	7	instruction	0	110	narrative	R
189	8	clip	0	110	narrative	R
202	11	instruction	1	157	control	control
213	8	clip	1	157	control	control
226	7	instruction	0	109	narrative	X
233	8	clip	0	109	narrative	X
246	7	instruction	0	112	narrative	R
253	8	clip	0	112	narrative	R
266	11	instruction	1	132	narrative	R
277	8	clip	1	132	narrative	R
290	9	instruction	1	107	narrative	R
299	8	clip	1	107	narrative	R
312	9	instruction	0	119	narrative	F
321	8	clip	0	119	narrative	F
334	7	instruction	1	135	narrative	R
341	8	clip	1	135	narrative	R
354	11	instruction	1	156	control	control
365	8	clip	1	156	control	control
378	7	instruction	0	138	narrative	X
385	8	clip	0	138	narrative	X
398	9	instruction	1	137	narrative	R
407	8	clip	1	137	narrative	R
420	7	instruction	0	129	narrative	R
427	8	clip	0	129	narrative	R
440	9	instruction	1	113	narrative	R
449	8	clip	1	113	narrative	R
462	11	instruction	0	127	narrative	F
473	8	clip	0	127	narrative	F
486	9	instruction	1	108	narrative	R
495	8	clip	1	108	narrative	R
508	11	instruction	1	133	narrative	R
519	8	clip	1	133	narrative	R
532	7	instruction	0	140	narrative	R
539	8	clip	0	140	narrative	R
552	11	instruction	0	158	control	control
563	8	clip	0	158	control	control
576	11	instruction	1	131	narrative	R
587	8	clip	1	131	narrative	R
600	7	instruction	1	106	narrative	R
607	8	clip	1	106	narrative	R
620	7	instruction	0	139	narrative	F
627	8	clip	0	139	narrative	F
640	9	instruction	0	117	narrative	X
649	8	clip	0	117	narrative	X
662	9	instruction	1	120	narrative	R
671	8	clip	1	120	narrative	R
684	7	instruction	0	136	narrative	F
691	8	clip	0	136	narrative	F
704	7	instruction	1	128	narrative	R
711	8	clip	1	128	narrative	R
724	7	instruction	1	114	narrative	R
731	8	clip	1	114	narrative	R
744	11	instruction	0	160	control	control
755	8	clip	0	160	control	control
768	7	instruction	0	134	narrative	R
775	8	clip	0	134	narrative	R
788	7	instruction	1	122	narrative	R
795	8	clip	1	122	narrative	R
808	7	instruction	1	126	narrative	R
815	8	clip	1	126	narrative	R
828	9	instruction	0	111	narrative	F
837	8	clip	0	111	narrative	F
850	9	instruction	0	118	narrative	F
859	8	clip	0	118	narrative	F
