onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	47	narrative	X
19	8	clip	1	47	narrative	X
32	11	instruction	0	150	control	control
43	8	clip	0	150	control	control
56	9	instruction	0	66	narrative	F
65	8	clip	0	66	narrative	F
78	7	instruction	1	39	narrative	R
85	8	clip	1	39	narrative	R
98	7	instruction	1	49	narrative	F
105	8	clip	1	49	narrative	F
118	11	instruction	1	146	control	control
129	8	clip	1	146	control	control
142	11	instruction	1	64	narrative	R
153	8	clip	1	64	narrative	R
166	9	instruction	0	67	narrative	R
175	8	clip	0	67	narrative	R
188	9	instruction	1	56	narrative	R
197	8	clip	1	56	narrative	R
210	11	instruction	1	147	control	control
221	8	clip	1	147	control	control
234	9	instruction	1	58	narrative	R
243	8	clip	1	58	narrative	R
256	7	instruction	1	68	narrative	F
263	8	clip	1	68	narrative	F
276	7	instruction	1	38	narrative	F
283	8	clip	1	38	narrative	F
296	11	instruction	0	48	narrative	F
307	8	clip	0	48	narrative	F
320	7	instruction	0	54	narrative	R
327	8	clip	0	54	narrative	R
340	7	instruction	0	37	narrative	F
347	8	clip	0	37	narrative	F
360	11	instruction	0	148	control	control
371	8	clip	0	148	control	control
384	9	instruction	1	57	narrative	F
393	8	clip	1	57	narrative	F
406	7	instruction	0	50	narrative	F
413	8	clip	0	50	narrative	F
426	11	instruction	1	69	narrative	R
437	8	clip	1	69	narrative	R
450	7	instruction	0	41	narrative	F
457	8	clip	0	41	narrative	F
470	7	instruction	0	53	narrative	F
477	8	clip	0	53	narrative	F
490	9	instruction	0	65	narrative	F
499	8	clip	0	65	narrative	F
512	7	instruction	0	52	narrative	F
519	8	clip	0	52	narrative	F
532	11	instruction	0	149	control	control
543	8	clip	0	149	control	control
556	7	instruction	1	44	narrative	F
563	8	clip	1	44	narrative	F
576	7	instruction	0	59	narrative	F
583	8	clip	0	59	narrative	F
596	11	instruction	1	63	narrative	F
607	8	clip	1	63	narrative	F
620	7	instruction	1	46	narrative	F
627	8	clip	1	46	narrative	F
640	9	instruction	0	62	narrative	R
649	8	clip	0	62	narrative	R
662	7	instruction	1	36	narrative	F
669	8	clip	1	36	narrative	F
682	7	instruction	0	51	narrative	F
689	8	clip	0	51	narrative	F
702	9	instruction	1	55	narrative	F
711	8	clip	1	55	narrative	F
724	9	instruction	1	60	narrative	R
733	8	clip	1	60	narrative	R
746	7	instruction	1	45	narrative	F
753	8	clip	1	45	narrative	F
766	11	instruction	0	70	narrative	F
777	8	clip	0	70	narrative	F
790	9	instruction	0	61	narrative	F
799	8	clip	0	61	narrative	F
812	7	instruction	0	43	narrative	R
819	8	clip	0	43	narrative	R
832	7	instruction	1	40	narrative	F
839	8	clip	1	40	narrative	F
852	7	instruction	0	42	narrative	R
859	8	clip	0	42	narrative	R
