onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	11	instruction	1	132	narrative	F
23	8	clip	1	132	narrative	F
36	11	instruction	0	155	control	control
47	8	clip	0	155	control	control
60	11	instruction	1	152	control	control
71	8	clip	1	152	control	control
84	11	instruction	0	153	control	control
95	8	clip	0	153	control	control
108	7	instruction	0	140	narrative	F
115	8	clip	0	140	narrative	F
128	7	instruction	0	112	narrative	R
135	8	clip	0	112	narrative	R
148	7	instruction	0	110	narrative	R
155	8	clip	0	110	narrative	R
168	7	instruction	1	130	narrative	F
175	8	clip	1	130	narrative	F
188	9	instruction	0	111	narrative	F
197	8	clip	0	111	narrative	F
210	7	instruction	0	129	narrative	F
217	8	clip	0	129	narrative	F
230	7	instruction	1	135	narrative	R
237	8	clip	1	135	narrative	R
250	7	instruction	1	126	narrative	X
257	8	clip	1	126	narrative	X
270	11	instruction	0	124	narrative	F
281	8	clip	0	124	narrative	F
294	7	instruction	0	123	narrative	F
301	8	clip	0	123	narrative	F
314	7	instruction	1	114	narrative	R
321	8	clip	1	114	narrative	R
334	9	instruction	1	108	narrative	F
343	8	clip	1	108	narrative	F
356	7	instruction	1	122	narrative	F
363	8	clip	1	122	narrative	F
376	9	instruction	0	118	narrative	F
385	8	clip	0	118	narrative	F
398	9	instruction	1	107	narrative	F
407	8	clip	1	107	narrative	F
420	7	instruction	1	121	narrative	F
427	8	clip	1	121	narrative	F
440	11	instruction	1	133	narrative	F
451	8	clip	1	133	narrative	F
464	7	instruction	1	128	narrative	F
471	8	clip	1	128	narrative	F
484	9	instruction	0	119	narrative	F
493	8	clip	0	119	narrative	F
506	11	instruction	0	154	control	control
517	8	clip	0	154	control	control
530	7	instruction	1	125	narrative	F
537	8	clip	1	125	narrative	F
550	7	instruction	0	136	narrative	F
557	8	clip	0	136	narrative	F
570	9	instruction	1	137	narrative	F
579	8	clip	1	137	narrative	F
592	7	instruction	0	134	narrative	F
599	8	clip	0	134	narrative	F
612	7	instruction	0	139	narrative	F
619	8	clip	0	139	narrative	F
632	11	instruction	0	127	narrative	F
643	8	clip	0	127	narrative	F
656	11	instruction	1	151	control	control
667	8	clip	1	151	control	control
680	7	instruction	1	106	narrative	R
687	8	clip	1	106	narrative	R
700	9	instruction	1	113	narrative	R
709	8	clip	1	113	narrative	R
722	7	instruction	0	138	narrative	F
729	8	clip	0	138	narrative	F
742	9	instruction	0	116	narrative	R
751	8	clip	0	116	narrative	R
764	9	instruction	1	120	narrative	R
773	8	clip	1	120	narrative	R
786	11	instruction	1	131	narrative	R
797	8	clip	1	131	narrative	R
810	7	instruction	1	115	narrative	X
817	8	clip	1	115	narrative	X
830	7	instruction	0	109	narrative	F
837	8	clip	0	109	narrative	F
850	9	instruction	0	117	narrative	F
859	8	clip	0	117	narrative	F
