onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	0	128	narrative	X
19	8	clip	0	128	narrative	X
32	11	instruction	1	143	control	control
43	8	clip	1	143	control	control
56	9	instruction	1	116	narrative	R
65	8	clip	1	116	narrative	R
78	7	instruction	1	140	narrative	F
85	8	clip	1	140	narrative	F
98	7	instruction	1	134	narrative	R
105	8	clip	1	134	narrative	R
118	11	instruction	1	124	narrative	F
129	8	clip	1	124	narrative	F
142	11	instruction	0	131	narrative	X
153	8	clip	0	131	narrative	X
166	7	instruction	0	126	narrative	F
173	8	clip	0	126	narrative	F
186	7	instruction	1	109	narrative	R
193	8	clip	1	109	narrative	R
206	9	instruction	0	108	narrative	F
215	8	clip	0	108	narrative	F
228	7	instruction	0	115	narrative	R
235	8	clip	0	115	narrative	R
248	11	instruction	0	132	narrative	F
259	8	clip	0	132	narrative	F
272	7	instruction	1	110	narrative	F
279	8	clip	1	110	narrative	F
292	11	instruction	1	141	control	control
303	8	clip	1	141	control	control
316	9	instruction	1	119	narrative	F
325	8	clip	1	119	narrative	F
338	7	instruction	1	138	narrative	F
345	8	clip	1	138	narrative	F
358	7	instruction	0	130	narrative	X
365	8	clip	0	130	narrative	X
378	9	instruction	0	107	narrative	F
387	8	clip	0	107	narrative	F
400	7	instruction	0	125	narrative	F
407	8	clip	0	125	narrative	F
420	11	instruction	1	127	narrative	F
431	8	clip	1	127	narrative	F
444	7	instruction	1	112	narrative	R
451	8	clip	1	112	narrative	R
464	7	instruction	0	122	narrative	F
471	8	clip	0	122	narrative	F
484	9	instruction	1	118	narrative	F
493	8	clip	1	118	narrative	F
506	7	instruction	1	136	narrative	F
513	8	clip	1	136	narrative	F
526	11	instruction	0	145	control	control
537	8	clip	0	145	control	control
550	9	instruction	1	111	narrative	F
559	8	clip	1	111	narrative	F
572	7	instruction	0	106	narrative	R
579	8	clip	0	106	narrative	R
592	7	instruction	1	123	narrative	R
599	8	clip	1	123	narrative	R
612	11	instruction	1	142	control	control
623	8	clip	1	142	control	control
636	7	instruction	0	135	narrative	F
643	8	clip	0	135	narrative	F
656	9	instruction	1	117	narrative	F
665	8	clip	1	117	narrative	F
678	7	instruction	1	139	narrative	R
685	8	clip	1	139	narrative	R
698	7	instruction	0	114	narrative	R
705	8	clip	0	114	narrative	R
718	11	instruction	0	133	narrative	F
729	8	clip	0	133	narrative	F
742	7	instruction	1	129	narrative	R
749	8	clip	1	129	narrative	R
762	11	instruction	0	144	control	control
773	8	clip	0	144	control	control
786	9	instruction	0	120	narrative	R
795	8	clip	0	120	narrative	R
808	9	instruction	0	137	narrative	F
817	8	clip	0	137	narrative	F
830	9	instruction	0	113	narrative	R
839	8	clip	0	113	narrative	R
852	7	instruction	0	121	narrative	R
859	8	clip	0	121	narrative	R
