onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	102	narrative	R
19	8	clip	1	102	narrative	R
32	9	instruction	1	80	narrative	F
41	8	clip	1	80	narrative	F
54	7	instruction	0	105	narrative	R
61	8	clip	0	105	narrative	R
74	7	instruction	1	98	narrative	F
81	8	clip	1	98	narrative	F
94	7	instruction	1	71	narrative	F
101	8	clip	1	71	narrative	F
114	7	instruction	1	77	narrative	R
121	8	clip	1	77	narrative	R
134	9	instruction	1	81	narrative	X
143	8	clip	1	81	narrative	X
156	7	instruction	0	90	narrative	R
163	8	clip	0	90	narrative	R
176	7	instruction	1	79	narrative	R
183	8	clip	1	79	narrative	R
196	11	instruction	1	103	narrative	R
207	8	clip	1	103	narrative	R
220	9	instruction	0	96	narrative	R
229	8	clip	0	96	narrative	R
242	7	instruction	0	99	narrative	F
249	8	clip	0	99	narrative	F
262	7	instruction	0	75	narrative	F
269	8	clip	0	75	narrative	F
282	7	instruction	0	104	narrative	R
289	8	clip	0	104	narrative	R
302	7	instruction	1	76	narrative	R
309	8	clip	1	76	narrative	R
322	11	instruction	0	100	narrative	R
333	8	clip	0	100	narrative	R
346	11	instruction	0	159	control	control
357	8	clip	0	159	control	control
370	11	instruction	0	101	narrative	F
381	8	clip	0	101	narrative	F
394	9	instruction	0	72	narrative	F
403	8	clip	0	72	narrative	F
416	7	instruction	0	94	narrative	R
423	8	clip	0	94	narrative	R
436	9	instruction	1	74	narrative	F
445	8	clip	1	74	narrative	F
458	7	instruction	1	87	narrative	R
465	8	clip	1	87	narrative	R
478	11	instruction	1	157	control	control
489	8	clip	1	157	control	control
502	7	instruction	1	88	narrative	F
509	8	clip	1	88	narrative	F
522	7	instruction	0	89	narrative	F
529	8	clip	0	89	narrative	F
542	7	instruction	1	86	narrative	R
549	8	clip	1	86	narrative	R
562	9	instruction	0	82	narrative	F
571	8	clip	0	82	narrative	F
584	11	instruction	1	95	narrative	R
595	8	clip	1	95	narrative	R
608	7	instruction	1	78	narrative	R
615	8	clip	1	78	narrative	R
628	11	instruction	1	156	control	control
639	8	clip	1	156	control	control
652	7	instruction	0	91	narrative	R
659	8	clip	0	91	narrative	R
672	11	instruction	0	158	control	control
683	8	clip	0	158	control	control
696	9	instruction	1	85	narrative	R
705	8	clip	1	85	narrative	R
718	11	instruction	0	160	control	control
729	8	clip	0	160	control	control
742	7	instruction	0	92	narrative	F
749	8	clip	0	92	narrative	F
762	9	instruction	0	83	narrative	F
771	8	clip	0	83	narrative	F
784	11	instruction	1	73	narrative	F
795	8	clip	1	73	narrative	F
808	7	instruction	0	93	narrative	F
815	8	clip	0	93	narrative	F
828	9	instruction	0	97	narrative	R
837	8	clip	0	97	narrative	R
850	9	instruction	1	84	narrative	F
859	8	clip	1	84	narrative	F
