onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	0	46	narrative	R
19	8	clip	0	46	narrative	R
32	11	instruction	1	148	control	control
43	8	clip	1	148	control	control
56	9	instruction	1	61	narrative	F
65	8	clip	1	61	narrative	F
78	11	instruction	1	146	control	control
89	8	clip	1	146	control	control
102	7	instruction	0	44	narrative	F
109	8	clip	0	44	narrative	F
122	7	instruction	1	59	narrative	R
129	8	clip	1	59	narrative	R
142	7	instruction	1	50	narrative	F
149	8	clip	1	50	narrative	F
162	9	instruction	1	65	narrative	F
171	8	clip	1	65	narrative	F
184	11	instruction	0	64	narrative	F
195	8	clip	0	64	narrative	F
208	9	instruction	0	58	narrative	F
217	8	clip	0	58	narrative	F
230	7	instruction	1	37	narrative	F
237	8	clip	1	37	narrative	F
250	11	instruction	1	147	control	control
261	8	clip	1	147	control	control
274	9	instruction	1	67	narrative	F
283	8	clip	1	67	narrative	F
296	7	instruction	1	54	narrative	F
303	8	clip	1	54	narrative	F
316	11	instruction	1	70	narrative	X
327	8	clip	1	70	narrative	X
340	9	instruction	1	62	narrative	R
349	8	clip	1	62	narrative	R
362	11	instruction	0	149	control	control
373	8	clip	0	149	control	control
386	9	instruction	0	55	narrative	F
395	8	clip	0	55	narrative	F
408	7	instruction	1	52	narrative	F
415	8	clip	1	52	narrative	F
428	7	instruction	0	39	narrative	F
435	8	clip	0	39	narrative	F
448	7	instruction	1	43	narrative	F
455	8	clip	1	43	narrative	F
468	7	instruction	0	47	narrative	F
475	8	clip	0	47	narrative	F
488	7	instruction	1	42	narrative	F
495	8	clip	1	42	narrative	F
508	7	instruction	1	51	narrative	F
515	8	clip	1	51	narrative	F
528	7	instruction	0	49	narrative	R
535	8	clip	0	49	narrative	R
548	9	instruction	0	60	narrative	F
557	8	clip	0	60	narrative	F
570	7	instruction	0	68	narrative	F
577	8	clip	0	68	narrative	F
590	11	instruction	0	150	control	control
601	8	clip	0	150	control	control
614	7	instruction	1	53	narrative	F
621	8	clip	1	53	narrative	F
634	11	instruction	1	48	narrative	R
645	8	clip	1	48	narrative	R
658	7	instruction	1	41	narrative	X
665	8	clip	1	41	narrative	X
678	9	instruction	1	66	narrative	R
687	8	clip	1	66	narrative	R
700	9	instruction	0	57	narrative	F
709	8	clip	0	57	narrative	F
722	9	instruction	0	56	narrative	R
731	8	clip	0	56	narrative	R
744	7	instruction	0	45	narrative	F
751	8	clip	0	45	narrative	F
764	11	instruction	0	63	narrative	F
775	8	clip	0	63	narrative	F
788	7	instruction	0	38	narrative	R
795	8	clip	0	38	narrative	R
808	7	instruction	0	40	narrative	X
815	8	clip	0	40	narrative	X
828	11	instruction	0	69	narrative	F
839	8	clip	0	69	narrative	F
852	7	instruction	0	36	narrative	F
859	8	clip	0	36	narrative	F
