onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	72	narrative	F
19	8	clip	1	72	narrative	F
32	9	instruction	1	95	narrative	R
41	8	clip	1	95	narrative	R
54	9	instruction	0	97	narrative	X
63	8	clip	0	97	narrative	X
76	11	instruction	0	104	narrative	F
87	8	clip	0	104	narrative	F
100	7	instruction	0	90	narrative	F
107	8	clip	0	90	narrative	F
120	9	instruction	1	91	narrative	F
129	8	clip	1	91	narrative	F
142	9	instruction	1	92	narrative	F
151	8	clip	1	92	narrative	F
164	9	instruction	0	98	narrative	F
173	8	clip	0	98	narrative	F
186	7	instruction	1	80	narrative	F
193	8	clip	1	80	narrative	F
206	11	instruction	0	105	narrative	R
217	8	clip	0	105	narrative	R
230	11	instruction	0	144	control	control
241	8	clip	0	144	control	control
254	7	instruction	1	78	narrative	F
261	8	clip	1	78	narrative	F
274	7	instruction	0	82	narrative	F
281	8	clip	0	82	narrative	F
294	7	instruction	1	79	narrative	R
301	8	clip	1	79	narrative	R
314	11	instruction	1	101	narrative	F
325	8	clip	1	101	narrative	F
338	11	instruction	1	102	narrative	F
349	8	clip	1	102	narrative	F
362	9	instruction	1	94	narrative	F
371	8	clip	1	94	narrative	F
384	7	instruction	0	84	narrative	F
391	8	clip	0	84	narrative	F
404	7	instruction	0	87	narrative	F
411	8	clip	0	87	narrative	F
424	7	instruction	0	88	narrative	F
431	8	clip	0	88	narrative	F
444	7	instruction	1	71	narrative	F
451	8	clip	1	71	narrative	F
464	7	instruction	0	81	narrative	F
471	8	clip	0	81	narrative	F
484	9	instruction	1	93	narrative	F
493	8	clip	1	93	narrative	F
506	9	instruction	0	100	narrative	F
515	8	clip	0	100	narrative	F
528	7	instruction	0	85	narrative	F
535	8	clip	0	85	narrative	F
548	7	instruction	1	75	narrative	F
555	8	clip	1	75	narrative	F
568	7	instruction	1	74	narrative	X
575	8	clip	1	74	narrative	X
588	7	instruction	1	77	narrative	F
595	8	clip	1	77	narrative	F
608	7	instruction	0	83	narrative	F
615	8	clip	0	83	narrative	F
628	11	instruction	1	141	control	control
639	8	clip	1	141	control	control
652	7	instruction	1	73	narrative	F
659	8	clip	1	73	narrative	F
672	11	instruction	1	142	control	control
683	8	clip	1	142	control	control
696	11	instruction	0	145	control	control
707	8	clip	0	145	control	control
720	9	instruction	0	99	narrative	F
729	8	clip	0	99	narrative	F
742	11	instruction	1	143	control	control
753	8	clip	1	143	control	control
766	7	instruction	0	86	narrative	F
773	8	clip	0	86	narrative	F
786	9	instruction	0	96	narrative	F
795	8	clip	0	96	narrative	F
808	7	instruction	0	89	narrative	F
815	8	clip	0	89	narrative	F
828	7	instruction	1	76	narrative	R
835	8	clip	1	76	narrative	R
848	11	instruction	0	103	narrative	F
859	8	clip	0	103	narrative	F
