onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	9	instruction	1	28	narrative	R
21	8	clip	1	28	narrative	R
34	11	instruction	0	21	narrative	R
45	8	clip	0	21	narrative	R
58	11	instruction	1	4	narrative	F
69	8	clip	1	4	narrative	F
82	9	instruction	1	6	narrative	R
91	8	clip	1	6	narrative	R
104	11	instruction	1	29	narrative	R
115	8	clip	1	29	narrative	R
128	7	instruction	1	12	narrative	R
135	8	clip	1	12	narrative	R
148	7	instruction	1	3	narrative	R
155	8	clip	1	3	narrative	R
168	11	instruction	1	156	control	control
179	8	clip	1	156	control	control
192	9	instruction	1	7	narrative	F
201	8	clip	1	7	narrative	F
214	7	instruction	1	18	narrative	F
221	8	clip	1	18	narrative	F
234	9	instruction	0	23	narrative	F
243	8	clip	0	23	narrative	F
256	11	instruction	1	157	control	control
267	8	clip	1	157	control	control
280	11	instruction	0	15	narrative	F
291	8	clip	0	15	narrative	F
304	9	instruction	0	32	narrative	R
313	8	clip	0	32	narrative	R
326	9	instruction	0	24	narrative	R
335	8	clip	0	24	narrative	R
348	11	instruction	1	158	control	control
359	8	clip	1	158	control	control
372	11	instruction	0	159	control	control
383	8	clip	0	159	control	control
396	11	instruction	0	160	control	control
407	8	clip	0	160	control	control
420	9	instruction	0	19	narrative	F
429	8	clip	0	19	narrative	F
442	9	instruction	1	27	narrative	R
451	8	clip	1	27	narrative	R
464	7	instruction	0	14	narrative	F
471	8	clip	0	14	narrative	F
484	9	instruction	1	5	narrative	F
493	8	clip	1	5	narrative	F
506	7	instruction	1	30	narrative	R
513	8	clip	1	30	narrative	R
526	11	instruction	0	10	narrative	R
537	8	clip	0	10	narrative	R
550	7	instruction	0	25	narrative	R
557	8	clip	0	25	narrative	R
570	7	instruction	1	9	narrative	F
577	8	clip	1	9	narrative	F
590	9	instruction	0	22	narrative	R
599	8	clip	0	22	narrative	R
612	7	instruction	0	20	narrative	R
619	8	clip	0	20	narrative	R
632	7	instruction	1	2	narrative	R
639	8	clip	1	2	narrative	R
652	7	instruction	0	16	narrative	R
659	8	clip	0	16	narrative	R
672	7	instruction	0	26	narrative	R
679	8	clip	0	26	narrative	R
692	7	instruction	0	33	narrative	R
699	8	clip	0	33	narrative	R
712	7	instruction	0	13	narrative	F
719	8	clip	0	13	narrative	F
732	7	instruction	0	1	narrative	R
739	8	clip	0	1	narrative	R
752	7	instruction	0	34	narrative	F
759	8	clip	0	34	narrative	F
772	7	instruction	1	35	narrative	F
779	8	clip	1	35	narrative	F
792	7	instruction	1	31	narrative	R
799	8	clip	1	31	narrative	R
812	7	instruction	1	8	narrative	R
819	8	clip	1	8	narrative	R
832	7	instruction	1	11	narrative	F
839	8	clip	1	11	narrative	F
852	7	instruction	0	17	narrative	R
859	8	clip	0	17	narrative	R
