onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	44	narrative	R
19	8	clip	1	44	narrative	R
32	7	instruction	0	53	narrative	R
39	8	clip	0	53	narrative	R
52	7	instruction	0	41	narrative	F
59	8	clip	0	41	narrative	F
72	9	instruction	1	60	narrative	X
81	8	clip	1	60	narrative	X
94	9	instruction	0	61	narrative	R
103	8	clip	0	61	narrative	R
116	7	instruction	1	40	narrative	R
123	8	clip	1	40	narrative	R
136	9	instruction	1	57	narrative	R
145	8	clip	1	57	narrative	R
158	7	instruction	1	46	narrative	R
165	8	clip	1	46	narrative	R
178	9	instruction	1	55	narrative	F
187	8	clip	1	55	narrative	F
200	7	instruction	0	42	narrative	R
207	8	clip	0	42	narrative	R
220	7	instruction	1	38	narrative	F
227	8	clip	1	38	narrative	F
240	9	instruction	0	66	narrative	R
249	8	clip	0	66	narrative	R
262	11	instruction	0	143	control	control
273	8	clip	0	143	control	control
286	7	instruction	0	51	narrative	F
293	8	clip	0	51	narrative	F
306	7	instruction	0	52	narrative	R
313	8	clip	0	52	narrative	R
326	9	instruction	0	65	narrative	R
335	8	clip	0	65	narrative	R
348	7	instruction	1	36	narrative	F
355	8	clip	1	36	narrative	F
368	7	instruction	1	45	narrative	F
375	8	clip	1	45	narrative	F
388	11	instruction	1	142	control	control
399	8	clip	1	142	control	control
412	9	instruction	1	56	narrative	R
421	8	clip	1	56	narrative	R
434	11	instruction	0	145	control	control
445	8	clip	0	145	control	control
458	11	instruction	1	141	control	control
469	8	clip	1	141	control	control
482	9	instruction	0	62	narrative	R
491	8	clip	0	62	narrative	R
504	11	instruction	0	48	narrative	R
515	8	clip	0	48	narrative	R
528	7	instruction	1	68	narrative	R
535	8	clip	1	68	narrative	R
548	7	instruction	1	39	narrative	R
555	8	clip	1	39	narrative	R
568	7	instruction	1	47	narrative	F
575	8	clip	1	47	narrative	F
588	7	instruction	0	43	narrative	R
595	8	clip	0	43	narrative	R
608	11	instruction	0	70	narrative	F
619	8	clip	0	70	narrative	F
632	11	instruction	0	144	control	control
643	8	clip	0	144	control	control
656	7	instruction	0	59	narrative	R
663	8	clip	0	59	narrative	R
676	11	instruction	1	69	narrative	R
687	8	clip	1	69	narrative	R
700	11	instruction	1	64	narrative	R
711	8	clip	1	64	narrative	R
724	7	instruction	1	49	narrative	R
731	8	clip	1	49	narrative	R
744	7	instruction	0	37	narrative	R
751	8	clip	0	37	narrative	R
764	11	instruction	1	63	narrative	F
775	8	clip	1	63	narrative	F
788	7	instruction	0	50	narrative	R
795	8	clip	0	50	narrative	R
808	7	instruction	0	54	narrative	F
815	8	clip	0	54	narrative	F
828	9	instruction	0	67	narrative	R
837	8	clip	0	67	narrative	R
850	9	instruction	1	58	narrative	R
859	8	clip	1	58	narrative	R
