onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	11	instruction	1	69	narrative	R
23	8	clip	1	69	narrative	R
36	7	instruction	1	48	narrative	R
43	8	clip	1	48	narrative	R
56	9	instruction	0	59	narrative	X
65	8	clip	0	59	narrative	X
78	7	instruction	1	46	narrative	R
85	8	clip	1	46	narrative	R
98	9	instruction	0	56	narrative	F
107	8	clip	0	56	narrative	F
120	9	instruction	0	58	narrative	F
129	8	clip	0	58	narrative	F
142	7	instruction	0	45	narrative	F
149	8	clip	0	45	narrative	F
162	11	instruction	1	70	narrative	F
173	8	clip	1	70	narrative	F
186	7	instruction	1	47	narrative	R
193	8	clip	1	47	narrative	R
206	9	instruction	1	64	narrative	F
215	8	clip	1	64	narrative	F
228	7	instruction	1	52	narrative	R
235	8	clip	1	52	narrative	R
248	7	instruction	1	54	narrative	F
255	8	clip	1	54	narrative	F
268	7	instruction	0	40	narrative	F
275	8	clip	0	40	narrative	F
288	9	instruction	1	63	narrative	F
297	8	clip	1	63	narrative	F
310	7	instruction	1	51	narrative	F
317	8	clip	1	51	narrative	F
330	9	instruction	1	65	narrative	F
339	8	clip	1	65	narrative	F
352	9	instruction	1	62	narrative	R
361	8	clip	1	62	narrative	R
374	11	instruction	0	68	narrative	F
385	8	clip	0	68	narrative	F
398	7	instruction	0	36	narrative	F
405	8	clip	0	36	narrative	F
418	11	instruction	1	156	control	control
429	8	clip	1	156	control	control
442	7	instruction	0	44	narrative	F
449	8	clip	0	44	narrative	F
462	11	instruction	0	66	narrative	F
473	8	clip	0	66	narrative	F
486	7	instruction	0	42	narrative	F
493	8	clip	0	42	narrative	F
506	11	instruction	1	158	control	control
517	8	clip	1	158	control	control
530	7	instruction	0	38	narrative	F
537	8	clip	0	38	narrative	F
550	7	instruction	1	53	narrative	F
557	8	clip	1	53	narrative	F
570	9	instruction	0	57	narrative	F
579	8	clip	0	57	narrative	F
592	9	instruction	0	60	narrative	R
601	8	clip	0	60	narrative	R
614	11	instruction	1	157	control	control
625	8	clip	1	157	control	control
638	7	instruction	0	41	narrative	F
645	8	clip	0	41	narrative	F
658	11	instruction	0	160	control	control
669	8	clip	0	160	control	control
682	7	instruction	1	55	narrative	F
689	8	clip	1	55	narrative	F
702	7	instruction	0	37	narrative	F
709	8	clip	0	37	narrative	F
722	9	instruction	1	61	narrative	R
731	8	clip	1	61	narrative	R
744	7	instruction	0	39	narrative	X
751	8	clip	0	39	narrative	X
764	7	instruction	1	50	narrative	F
771	8	clip	1	50	narrative	F
784	11	instruction	0	159	control	control
795	8	clip	0	159	control	control
808	7	instruction	0	43	narrative	R
815	8	clip	0	43	narrative	R
828	11	instruction	0	67	narrative	R
839	8	clip	0	67	narrative	R
852	7	instruction	1	49	narrative	R
859	8	clip	1	49	narrative	R
