onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	0	106	narrative	R
19	8	clip	0	106	narrative	R
32	9	instruction	0	129	narrative	R
41	8	clip	0	129	narrative	R
54	11	instruction	0	149	control	control
65	8	clip	0	149	control	control
78	7	instruction	0	108	narrative	F
85	8	clip	0	108	narrative	F
98	11	instruction	1	139	narrative	F
109	8	clip	1	139	narrative	F
122	11	instruction	0	136	narrative	F
133	8	clip	0	136	narrative	F
146	7	instruction	1	118	narrative	F
153	8	clip	1	118	narrative	F
166	11	instruction	1	146	control	control
177	8	clip	1	146	control	control
190	7	instruction	0	111	narrative	F
197	8	clip	0	111	narrative	F
210	11	instruction	1	147	control	control
221	8	clip	1	147	control	control
234	9	instruction	0	128	narrative	X
243	8	clip	0	128	narrative	X
256	7	instruction	0	113	narrative	R
263	8	clip	0	113	narrative	R
276	7	instruction	0	107	narrative	F
283	8	clip	0	107	narrative	F
296	7	instruction	1	123	narrative	F
303	8	clip	1	123	narrative	F
316	9	instruction	1	131	narrative	F
325	8	clip	1	131	narrative	F
338	7	instruction	1	120	narrative	F
345	8	clip	1	120	narrative	F
358	9	instruction	0	126	narrative	F
367	8	clip	0	126	narrative	F
380	7	instruction	1	122	narrative	F
387	8	clip	1	122	narrative	F
400	9	instruction	0	127	narrative	F
409	8	clip	0	127	narrative	F
422	9	instruction	1	135	narrative	F
431	8	clip	1	135	narrative	F
444	7	instruction	1	124	narrative	F
451	8	clip	1	124	narrative	F
464	7	instruction	1	125	narrative	F
471	8	clip	1	125	narrative	F
484	9	instruction	1	133	narrative	F
493	8	clip	1	133	narrative	F
506	7	instruction	1	117	narrative	F
513	8	clip	1	117	narrative	F
526	7	instruction	0	114	narrative	F
533	8	clip	0	114	narrative	F
546	11	instruction	0	138	narrative	F
557	8	clip	0	138	narrative	F
570	7	instruction	1	116	narrative	F
577	8	clip	1	116	narrative	F
590	7	instruction	0	109	narrative	F
597	8	clip	0	109	narrative	F
610	7	instruction	0	112	narrative	R
617	8	clip	0	112	narrative	R
630	9	instruction	0	130	narrative	F
639	8	clip	0	130	narrative	F
652	7	instruction	0	110	narrative	F
659	8	clip	0	110	narrative	F
672	9	instruction	1	134	narrative	R
681	8	clip	1	134	narrative	R
694	11	instruction	1	140	narrative	F
705	8	clip	1	140	narrative	F
718	7	instruction	1	121	narrative	F
725	8	clip	1	121	narrative	F
738	7	instruction	1	119	narrative	F
745	8	clip	1	119	narrative	F
758	11	instruction	0	137	narrative	F
769	8	clip	0	137	narrative	F
782	9	instruction	1	132	narrative	F
791	8	clip	1	132	narrative	F
804	11	instruction	0	150	control	control
815	8	clip	0	150	control	control
828	7	instruction	0	115	narrative	F
835	8	clip	0	115	narrative	F
848	11	instruction	1	148	control	control
859	8	clip	1	148	control	control
