onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	0	19	narrative	F
19	8	clip	0	19	narrative	F
32	7	instruction	1	5	narrative	F
39	8	clip	1	5	narrative	F
52	7	instruction	0	18	narrative	F
59	8	clip	0	18	narrative	F
72	7	instruction	0	14	narrative	F
79	8	clip	0	14	narrative	F
92	9	instruction	0	30	narrative	R
101	8	clip	0	30	narrative	R
114	7	instruction	1	4	narrative	F
121	8	clip	1	4	narrative	F
134	11	instruction	0	155	control	control
145	8	clip	0	155	control	control
158	7	instruction	1	2	narrative	R
165	8	clip	1	2	narrative	R
178	11	instruction	1	152	control	control
189	8	clip	1	152	control	control
202	7	instruction	0	15	narrative	F
209	8	clip	0	15	narrative	F
222	9	instruction	1	23	narrative	R
231	8	clip	1	23	narrative	R
244	9	instruction	0	26	narrative	F
253	8	clip	0	26	narrative	F
266	9	instruction	1	24	narrative	F
275	8	clip	1	24	narrative	F
288	11	instruction	1	32	narrative	F
299	8	clip	1	32	narrative	F
312	11	instruction	1	31	narrative	F
323	8	clip	1	31	narrative	F
336	9	instruction	1	22	narrative	R
345	8	clip	1	22	narrative	R
358	7	instruction	1	3	narrative	F
365	8	clip	1	3	narrative	F
378	7	instruction	0	20	narrative	F
385	8	clip	0	20	narrative	F
398	9	instruction	0	29	narrative	F
407	8	clip	0	29	narrative	F
420	7	instruction	1	8	narrative	F
427	8	clip	1	8	narrative	F
440	7	instruction	1	1	narrative	R
447	8	clip	1	1	narrative	R
460	11	instruction	0	35	narrative	F
471	8	clip	0	35	narrative	F
484	11	instruction	1	153	control	control
495	8	clip	1	153	control	control
508	7	instruction	1	9	narrative	F
515	8	clip	1	9	narrative	F
528	7	instruction	0	12	narrative	F
535	8	clip	0	12	narrative	F
548	7	instruction	1	6	narrative	F
555	8	clip	1	6	narrative	F
568	7	instruction	0	16	narrative	F
575	8	clip	0	16	narrative	F
588	7	instruction	1	7	narrative	F
595	8	clip	1	7	narrative	F
608	11	instruction	1	151	control	control
619	8	clip	1	151	control	control
632	11	instruction	0	33	narrative	R
643	8	clip	0	33	narrative	R
656	7	instruction	0	11	narrative	F
663	8	clip	0	11	narrative	F
676	11	instruction	0	154	control	control
687	8	clip	0	154	control	control
700	9	instruction	0	27	narrative	F
709	8	clip	0	27	narrative	F
722	7	instruction	1	10	narrative	F
729	8	clip	1	10	narrative	F
742	9	instruction	1	25	narrative	R
751	8	clip	1	25	narrative	R
764	9	instruction	0	28	narrative	F
773	8	clip	0	28	narrative	F
786	7	instruction	0	17	narrative	R
793	8	clip	0	17	narrative	R
806	11	instruction	0	34	narrative	F
817	8	clip	0	34	narrative	F
830	7	instruction	0	13	narrative	F
837	8	clip	0	13	narrative	F
850	9	instruction	1	21	narrative	R
859	8	clip	1	21	narrative	R
