onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	110	narrative	R
19	8	clip	1	110	narrative	R
32	7	instruction	0	125	narrative	F
39	8	clip	0	125	narrative	F
52	9	instruction	0	131	narrative	R
61	8	clip	0	131	narrative	R
74	7	instruction	0	123	narrative	F
81	8	clip	0	123	narrative	F
94	7	instruction	1	106	narrative	R
101	8	clip	1	106	narrative	R
114	7	instruction	0	116	narrative	F
121	8	clip	0	116	narrative	F
134	9	instruction	0	133	narrative	F
143	8	clip	0	133	narrative	F
156	11	instruction	1	157	control	control
167	8	clip	1	157	control	control
180	11	instruction	0	140	narrative	F
191	8	clip	0	140	narrative	F
204	7	instruction	0	117	narrative	F
211	8	clip	0	117	narrative	F
224	11	instruction	0	158	control	control
235	8	clip	0	158	control	control
248	11	instruction	1	137	narrative	F
259	8	clip	1	137	narrative	F
272	7	instruction	1	107	narrative	F
279	8	clip	1	107	narrative	F
292	11	instruction	1	138	narrative	F
303	8	clip	1	138	narrative	F
316	7	instruction	0	120	narrative	R
323	8	clip	0	120	narrative	R
336	9	instruction	0	132	narrative	F
345	8	clip	0	132	narrative	F
358	7	instruction	1	111	narrative	F
365	8	clip	1	111	narrative	F
378	7	instruction	0	121	narrative	R
385	8	clip	0	121	narrative	R
398	7	instruction	1	109	narrative	R
405	8	clip	1	109	narrative	R
418	7	instruction	0	124	narrative	F
425	8	clip	0	124	narrative	F
438	11	instruction	0	139	narrative	R
449	8	clip	0	139	narrative	R
462	11	instruction	0	159	control	control
473	8	clip	0	159	control	control
486	7	instruction	0	119	narrative	F
493	8	clip	0	119	narrative	F
506	7	instruction	1	112	narrative	R
513	8	clip	1	112	narrative	R
526	7	instruction	1	114	narrative	R
533	8	clip	1	114	narrative	R
546	7	instruction	1	113	narrative	R
553	8	clip	1	113	narrative	R
566	9	instruction	1	129	narrative	F
575	8	clip	1	129	narrative	F
588	9	instruction	1	130	narrative	R
597	8	clip	1	130	narrative	R
610	9	instruction	1	128	narrative	X
619	8	clip	1	128	narrative	X
632	11	instruction	1	136	narrative	F
643	8	clip	1	136	narrative	F
656	9	instruction	1	127	narrative	X
665	8	clip	1	127	narrative	X
678	9	instruction	1	126	narrative	R
687	8	clip	1	126	narrative	R
700	7	instruction	0	122	narrative	F
707	8	clip	0	122	narrative	F
720	9	instruction	0	134	narrative	R
729	8	clip	0	134	narrative	R
742	7	instruction	0	118	narrative	R
749	8	clip	0	118	narrative	R
762	11	instruction	1	156	control	control
773	8	clip	1	156	control	control
786	9	instruction	0	135	narrative	X
795	8	clip	0	135	narrative	X
808	7	instruction	1	115	narrative	R
815	8	clip	1	115	narrative	R
828	7	instruction	1	108	narrative	F
835	8	clip	1	108	narrative	F
848	11	instruction	0	160	control	control
859	8	clip	0	160	control	control
