onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	102	narrative	R
19	8	clip	1	102	narrative	R
32	7	instruction	1	71	narrative	R
39	8	clip	1	71	narrative	R
52	7	instruction	1	87	narrative	F
59	8	clip	1	87	narrative	F
72	9	instruction	1	81	narrative	X
81	8	clip	1	81	narrative	X
94	9	instruction	1	74	narrative	X
103	8	clip	1	74	narrative	X
116	7	instruction	0	93	narrative	R
123	8	clip	0	93	narrative	R
136	7	instruction	0	105	narrative	R
143	8	clip	0	105	narrative	R
156	9	instruction	0	96	narrative	R
165	8	clip	0	96	narrative	R
178	11	instruction	0	154	control	control
189	8	clip	0	154	control	control
202	7	instruction	1	79	narrative	R
209	8	clip	1	79	narrative	R
222	11	instruction	1	95	narrative	R
233	8	clip	1	95	narrative	R
246	9	instruction	0	97	narrative	R
255	8	clip	0	97	narrative	R
268	7	instruction	0	92	narrative	F
275	8	clip	0	92	narrative	F
288	7	instruction	0	75	narrative	R
295	8	clip	0	75	narrative	R
308	9	instruction	1	85	narrative	R
317	8	clip	1	85	narrative	R
330	7	instruction	0	90	narrative	F
337	8	clip	0	90	narrative	F
350	7	instruction	1	98	narrative	R
357	8	clip	1	98	narrative	R
370	11	instruction	0	155	control	control
381	8	clip	0	155	control	control
394	11	instruction	0	100	narrative	F
405	8	clip	0	100	narrative	F
418	7	instruction	0	104	narrative	R
425	8	clip	0	104	narrative	R
438	7	instruction	1	86	narrative	F
445	8	clip	1	86	narrative	F
458	7	instruction	0	94	narrative	R
465	8	clip	0	94	narrative	R
478	11	instruction	1	151	control	control
489	8	clip	1	151	control	control
502	7	instruction	1	77	narrative	R
509	8	clip	1	77	narrative	R
522	9	instruction	0	82	narrative	R
531	8	clip	0	82	narrative	R
544	7	instruction	1	78	narrative	F
551	8	clip	1	78	narrative	F
564	9	instruction	1	84	narrative	F
573	8	clip	1	84	narrative	F
586	9	instruction	1	80	narrative	F
595	8	clip	1	80	narrative	F
608	7	instruction	0	91	narrative	R
615	8	clip	0	91	narrative	R
628	11	instruction	0	153	control	control
639	8	clip	0	153	control	control
652	7	instruction	0	89	narrative	R
659	8	clip	0	89	narrative	R
672	11	instruction	1	103	narrative	F
683	8	clip	1	103	narrative	F
696	9	instruction	0	83	narrative	R
705	8	clip	0	83	narrative	R
718	7	instruction	0	99	narrative	R
725	8	clip	0	99	narrative	R
738	11	instruction	0	101	narrative	F
749	8	clip	0	101	narrative	F
762	7	instruction	1	88	narrative	R
769	8	clip	1	88	narrative	R
782	7	instruction	1	76	narrative	R
789	8	clip	1	76	narrative	R
802	9	instruction	0	72	narrative	F
811	8	clip	0	72	narrative	F
824	11	instruction	1	73	narrative	F
835	8	clip	1	73	narrative	F
848	11	instruction	1	152	control	control
859	8	clip	1	152	control	control
