onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	11	instruction	0	149	control	control
23	8	clip	0	149	control	control
36	7	instruction	0	16	narrative	F
43	8	clip	0	16	narrative	F
56	9	instruction	0	29	narrative	F
65	8	clip	0	29	narrative	F
78	7	instruction	1	3	narrative	F
85	8	clip	1	3	narrative	F
98	7	instruction	0	13	narrative	F
105	8	clip	0	13	narrative	F
118	9	instruction	0	28	narrative	F
127	8	clip	0	28	narrative	F
140	7	instruction	1	9	narrative	F
147	8	clip	1	9	narrative	F
160	7	instruction	1	8	narrative	R
167	8	clip	1	8	narrative	R
180	7	instruction	0	20	narrative	F
187	8	clip	0	20	narrative	F
200	7	instruction	1	10	narrative	R
207	8	clip	1	10	narrative	R
220	7	instruction	1	6	narrative	R
227	8	clip	1	6	narrative	R
240	11	instruction	0	150	control	control
251	8	clip	0	150	control	control
264	9	instruction	1	21	narrative	X
273	8	clip	1	21	narrative	X
286	7	instruction	1	4	narrative	F
293	8	clip	1	4	narrative	F
306	9	instruction	0	27	narrative	F
315	8	clip	0	27	narrative	F
328	9	instruction	1	22	narrative	R
337	8	clip	1	22	narrative	R
350	9	instruction	1	23	narrative	R
359	8	clip	1	23	narrative	R
372	11	instruction	0	34	narrative	F
383	8	clip	0	34	narrative	F
396	9	instruction	0	26	narrative	F
405	8	clip	0	26	narrative	F
418	7	instruction	1	1	narrative	X
425	8	clip	1	1	narrative	X
438	11	instruction	0	33	narrative	F
449	8	clip	0	33	narrative	F
462	7	instruction	1	7	narrative	F
469	8	clip	1	7	narrative	F
482	11	instruction	1	147	control	control
493	8	clip	1	147	control	control
506	7	instruction	0	15	narrative	F
513	8	clip	0	15	narrative	F
526	11	instruction	1	32	narrative	F
537	8	clip	1	32	narrative	F
550	11	instruction	0	35	narrative	F
561	8	clip	0	35	narrative	F
574	9	instruction	1	25	narrative	F
583	8	clip	1	25	narrative	F
596	7	instruction	0	19	narrative	R
603	8	clip	0	19	narrative	R
616	7	instruction	1	5	narrative	F
623	8	clip	1	5	narrative	F
636	7	instruction	0	11	narrative	F
643	8	clip	0	11	narrative	F
656	7	instruction	1	2	narrative	F
663	8	clip	1	2	narrative	F
676	11	instruction	1	31	narrative	F
687	8	clip	1	31	narrative	F
700	7	instruction	0	18	narrative	F
707	8	clip	0	18	narrative	F
720	7	instruction	0	14	narrative	F
727	8	clip	0	14	narrative	F
740	9	instruction	1	24	narrative	F
749	8	clip	1	24	narrative	F
762	7	instruction	0	17	narrative	X
769	8	clip	0	17	narrative	X
782	11	instruction	1	148	control	control
793	8	clip	1	148	control	control
806	7	instruction	0	12	narrative	R
813	8	clip	0	12	narrative	R
826	11	instruction	1	146	control	control
837	8	clip	1	146	control	control
850	9	instruction	0	30	narrative	F
859	8	clip	0	30	narrative	F
