onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	49	narrative	F
19	8	clip	1	49	narrative	F
32	9	instruction	0	66	narrative	F
41	8	clip	0	66	narrative	F
54	7	instruction	0	51	narrative	F
61	8	clip	0	51	narrative	F
74	11	instruction	0	150	control	control
85	8	clip	0	150	control	control
98	7	instruction	1	40	narrative	F
105	8	clip	1	40	narrative	F
118	9	instruction	1	55	narrative	F
127	8	clip	1	55	narrative	F
140	9	instruction	0	67	narrative	R
149	8	clip	0	67	narrative	R
162	11	instruction	0	70	narrative	F
173	8	clip	0	70	narrative	F
186	7	instruction	1	44	narrative	F
193	8	clip	1	44	narrative	F
206	7	instruction	1	47	narrative	F
213	8	clip	1	47	narrative	F
226	7	instruction	1	45	narrative	R
233	8	clip	1	45	narrative	R
246	11	instruction	0	149	control	control
257	8	clip	0	149	control	control
270	11	instruction	1	63	narrative	F
281	8	clip	1	63	narrative	F
294	7	instruction	0	54	narrative	F
301	8	clip	0	54	narrative	F
314	7	instruction	1	38	narrative	F
321	8	clip	1	38	narrative	F
334	11	instruction	1	64	narrative	F
345	8	clip	1	64	narrative	F
358	11	instruction	1	69	narrative	R
369	8	clip	1	69	narrative	R
382	7	instruction	0	42	narrative	R
389	8	clip	0	42	narrative	R
402	11	instruction	0	48	narrative	R
413	8	clip	0	48	narrative	R
426	9	instruction	1	60	narrative	R
435	8	clip	1	60	narrative	R
448	7	instruction	1	36	narrative	F
455	8	clip	1	36	narrative	F
468	9	instruction	0	62	narrative	R
477	8	clip	0	62	narrative	R
490	7	instruction	0	43	narrative	R
497	8	clip	0	43	narrative	R
510	11	instruction	1	147	control	control
521	8	clip	1	147	control	control
534	7	instruction	0	37	narrative	R
541	8	clip	0	37	narrative	R
554	7	instruction	0	41	narrative	F
561	8	clip	0	41	narrative	F
574	11	instruction	1	146	control	control
585	8	clip	1	146	control	control
598	9	instruction	0	61	narrative	R
607	8	clip	0	61	narrative	R
620	11	instruction	0	148	control	control
631	8	clip	0	148	control	control
644	7	instruction	0	52	narrative	F
651	8	clip	0	52	narrative	F
664	9	instruction	1	58	narrative	F
673	8	clip	1	58	narrative	F
686	9	instruction	1	56	narrative	F
695	8	clip	1	56	narrative	F
708	9	instruction	1	57	narrative	F
717	8	clip	1	57	narrative	F
730	7	instruction	1	39	narrative	R
737	8	clip	1	39	narrative	R
750	7	instruction	1	46	narrative	R
757	8	clip	1	46	narrative	R
770	7	instruction	0	53	narrative	F
777	8	clip	0	53	narrative	F
790	7	instruction	0	50	narrative	R
797	8	clip	0	50	narrative	R
810	7	instruction	1	68	narrative	R
817	8	clip	1	68	narrative	R
830	9	instruction	0	65	narrative	R
839	8	clip	0	65	narrative	R
852	7	instruction	0	59	narrative	R
859	8	clip	0	59	narrative	R
