onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	11	instruction	0	10	narrative	R
23	8	clip	0	10	narrative	R
36	11	instruction	1	4	narrative	F
47	8	clip	1	4	narrative	F
60	11	instruction	1	143	control	control
71	8	clip	1	143	control	control
84	7	instruction	1	8	narrative	R
91	8	clip	1	8	narrative	R
104	7	instruction	0	14	narrative	F
111	8	clip	0	14	narrative	F
124	7	instruction	0	25	narrative	F
131	8	clip	0	25	narrative	F
144	11	instruction	1	141	control	control
155	8	clip	1	141	control	control
168	7	instruction	0	26	narrative	F
175	8	clip	0	26	narrative	F
188	9	instruction	0	32	narrative	F
197	8	clip	0	32	narrative	F
210	9	instruction	1	27	narrative	F
219	8	clip	1	27	narrative	F
232	9	instruction	0	23	narrative	R
241	8	clip	0	23	narrative	R
254	7	instruction	0	1	narrative	F
261	8	clip	0	1	narrative	F
274	7	instruction	1	35	narrative	F
281	8	clip	1	35	narrative	F
294	7	instruction	1	9	narrative	R
301	8	clip	1	9	narrative	R
314	7	instruction	0	33	narrative	R
321	8	clip	0	33	narrative	R
334	7	instruction	0	34	narrative	F
341	8	clip	0	34	narrative	F
354	7	instruction	1	2	narrative	R
361	8	clip	1	2	narrative	R
374	7	instruction	0	16	narrative	F
381	8	clip	0	16	narrative	F
394	7	instruction	1	12	narrative	R
401	8	clip	1	12	narrative	R
414	9	instruction	0	19	narrative	F
423	8	clip	0	19	narrative	F
436	11	instruction	1	142	control	control
447	8	clip	1	142	control	control
460	9	instruction	1	6	narrative	F
469	8	clip	1	6	narrative	F
482	9	instruction	0	22	narrative	R
491	8	clip	0	22	narrative	R
504	7	instruction	0	17	narrative	R
511	8	clip	0	17	narrative	R
524	7	instruction	1	31	narrative	X
531	8	clip	1	31	narrative	X
544	11	instruction	0	15	narrative	F
555	8	clip	0	15	narrative	F
568	7	instruction	0	13	narrative	F
575	8	clip	0	13	narrative	F
588	9	instruction	1	7	narrative	F
597	8	clip	1	7	narrative	F
610	7	instruction	1	3	narrative	R
617	8	clip	1	3	narrative	R
630	11	instruction	1	29	narrative	F
641	8	clip	1	29	narrative	F
654	9	instruction	1	28	narrative	F
663	8	clip	1	28	narrative	F
676	11	instruction	0	144	control	control
687	8	clip	0	144	control	control
700	7	instruction	1	18	narrative	F
707	8	clip	1	18	narrative	F
720	9	instruction	0	24	narrative	F
729	8	clip	0	24	narrative	F
742	7	instruction	0	20	narrative	F
749	8	clip	0	20	narrative	F
762	9	instruction	1	5	narrative	F
771	8	clip	1	5	narrative	F
784	11	instruction	0	145	control	control
795	8	clip	0	145	control	control
808	7	instruction	1	30	narrative	R
815	8	clip	1	30	narrative	R
828	11	instruction	0	21	narrative	F
839	8	clip	0	21	narrative	F
852	7	instruction	1	11	narrative	R
859	8	clip	1	11	narrative	R
