onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	9	instruction	1	34	narrative	X
21	8	clip	1	34	narrative	X
34	11	instruction	0	16	narrative	R
45	8	clip	0	16	narrative	R
58	11	instruction	0	1	narrative	R
69	8	clip	0	1	narrative	R
82	11	instruction	1	91	narrative	R
93	8	clip	1	91	narrative	R
106	7	instruction	1	94	narrative	R
113	8	clip	1	94	narrative	R
126	7	instruction	0	30	narrative	F
133	8	clip	0	30	narrative	F
146	7	instruction	1	75	narrative	F
153	8	clip	1	75	narrative	F
166	7	instruction	1	11	narrative	R
173	8	clip	1	11	narrative	R
186	7	instruction	0	130	narrative	F
193	8	clip	0	130	narrative	F
206	7	instruction	0	114	narrative	F
213	8	clip	0	114	narrative	F
226	9	instruction	1	33	narrative	R
235	8	clip	1	33	narrative	R
248	7	instruction	0	99	narrative	F
255	8	clip	0	99	narrative	F
268	11	instruction	1	128	narrative	R
279	8	clip	1	128	narrative	R
292	7	instruction	1	92	narrative	F
299	8	clip	1	92	narrative	F
312	9	instruction	1	20	narrative	F
321	8	clip	1	20	narrative	F
334	9	instruction	0	26	narrative	F
343	8	clip	0	26	narrative	F
356	7	instruction	1	35	narrative	F
363	8	clip	1	35	narrative	F
376	7	instruction	0	115	narrative	F
383	8	clip	0	115	narrative	F
396	7	instruction	1	8	narrative	F
403	8	clip	1	8	narrative	F
416	7	instruction	0	68	narrative	F
423	8	clip	0	68	narrative	F
436	9	instruction	0	104	narrative	F
445	8	clip	0	104	narrative	F
458	7	instruction	0	3	narrative	F
465	8	clip	0	3	narrative	F
478	11	instruction	0	13	narrative	F
489	8	clip	0	13	narrative	F
502	7	instruction	1	89	narrative	R
509	8	clip	1	89	narrative	R
522	9	instruction	0	9	narrative	F
531	8	clip	0	9	narrative	F
544	11	instruction	1	135	narrative	F
555	8	clip	1	135	narrative	F
568	7	instruction	0	31	narrative	F
575	8	clip	0	31	narrative	F
588	9	instruction	1	105	narrative	R
597	8	clip	1	105	narrative	R
610	7	instruction	1	36	narrative	F
617	8	clip	1	36	narrative	F
630	9	instruction	0	25	narrative	F
639	8	clip	0	25	narrative	F
652	11	instruction	0	14	narrative	F
663	8	clip	0	14	narrative	F
676	7	instruction	1	18	narrative	F
683	8	clip	1	18	narrative	F
696	7	instruction	1	93	narrative	F
703	8	clip	1	93	narrative	F
716	9	instruction	1	106	narrative	R
725	8	clip	1	106	narrative	R
738	7	instruction	0	12	narrative	F
745	8	clip	0	12	narrative	F
758	11	instruction	1	90	narrative	F
769	8	clip	1	90	narrative	F
782	11	instruction	1	79	narrative	R
793	8	clip	1	79	narrative	R
806	11	instruction	0	17	narrative	F
817	8	clip	0	17	narrative	F
830	9	instruction	0	2	narrative	F
839	8	clip	0	2	narrative	F
852	7	instruction	0	47	narrative	F
859	8	clip	0	47	narrative	F
