onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	148	control	control
19	8	clip	1	148	control	control
32	7	instruction	1	147	control	control
39	8	clip	1	147	control	control
52	11	instruction	1	127	narrative	R
63	8	clip	1	127	narrative	R
76	7	instruction	1	142	control	control
83	8	clip	1	142	control	control
96	11	instruction	1	133	narrative	F
107	8	clip	1	133	narrative	F
120	7	instruction	0	108	narrative	F
127	8	clip	0	108	narrative	F
140	11	instruction	0	131	narrative	R
151	8	clip	0	131	narrative	R
164	7	instruction	0	152	control	control
171	8	clip	0	152	control	control
184	9	instruction	1	10	narrative	R
193	8	clip	1	10	narrative	R
206	11	instruction	1	111	narrative	F
217	8	clip	1	111	narrative	F
230	11	instruction	1	116	narrative	F
241	8	clip	1	116	narrative	F
254	11	instruction	0	103	narrative	F
265	8	clip	0	103	narrative	F
278	9	instruction	0	15	narrative	F
287	8	clip	0	15	narrative	F
300	7	instruction	0	151	control	control
307	8	clip	0	151	control	control
320	7	instruction	1	146	control	control
327	8	clip	1	146	control	control
340	11	instruction	0	119	narrative	F
351	8	clip	0	119	narrative	F
364	7	instruction	0	153	control	control
371	8	clip	0	153	control	control
384	7	instruction	1	144	control	control
391	8	clip	1	144	control	control
404	9	instruction	1	95	narrative	F
413	8	clip	1	95	narrative	F
426	9	instruction	0	159	control	control
435	8	clip	0	159	control	control
448	7	instruction	1	141	control	control
455	8	clip	1	141	control	control
468	7	instruction	1	143	control	control
475	8	clip	1	143	control	control
488	11	instruction	0	132	narrative	F
499	8	clip	0	132	narrative	F
512	7	instruction	0	137	narrative	R
519	8	clip	0	137	narrative	R
532	9	instruction	1	113	narrative	R
541	8	clip	1	113	narrative	R
554	7	instruction	0	157	control	control
561	8	clip	0	157	control	control
574	7	instruction	1	149	control	control
581	8	clip	1	149	control	control
594	7	instruction	0	154	control	control
601	8	clip	0	154	control	control
614	11	instruction	0	118	narrative	R
625	8	clip	0	118	narrative	R
638	7	instruction	1	150	control	control
645	8	clip	1	150	control	control
658	7	instruction	0	156	control	control
665	8	clip	0	156	control	control
678	7	instruction	0	120	narrative	R
685	8	clip	0	120	narrative	R
698	9	instruction	0	160	control	control
707	8	clip	0	160	control	control
720	7	instruction	0	155	control	control
727	8	clip	0	155	control	control
740	9	instruction	1	107	narrative	R
749	8	clip	1	107	narrative	R
762	9	instruction	0	48	narrative	R
771	8	clip	0	48	narrative	R
784	9	instruction	0	158	control	control
793	8	clip	0	158	control	control
806	9	instruction	1	117	narrative	R
815	8	clip	1	117	narrative	R
828	11	instruction	1	124	narrative	F
839	8	clip	1	124	narrative	F
852	7	instruction	1	145	control	control
859	8	clip	1	145	control	control
