onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	11	instruction	0	139	narrative	F
23	8	clip	0	139	narrative	F
36	9	instruction	0	82	narrative	R
45	8	clip	0	82	narrative	R
58	7	instruction	0	87	narrative	F
65	8	clip	0	87	narrative	F
78	9	instruction	0	69	narrative	R
87	8	clip	0	69	narrative	R
100	7	instruction	1	72	narrative	F
107	8	clip	1	72	narrative	F
120	9	instruction	1	83	narrative	R
129	8	clip	1	83	narrative	R
142	7	instruction	0	61	narrative	R
149	8	clip	0	61	narrative	R
162	9	instruction	1	84	narrative	F
171	8	clip	1	84	narrative	F
184	9	instruction	1	123	narrative	F
193	8	clip	1	123	narrative	F
206	11	instruction	0	100	narrative	F
217	8	clip	0	100	narrative	F
230	7	instruction	0	24	narrative	R
237	8	clip	0	24	narrative	R
250	7	instruction	1	62	narrative	R
257	8	clip	1	62	narrative	R
270	11	instruction	1	73	narrative	F
281	8	clip	1	73	narrative	F
294	11	instruction	0	70	narrative	F
305	8	clip	0	70	narrative	F
318	7	instruction	0	22	narrative	R
325	8	clip	0	22	narrative	R
338	7	instruction	0	58	narrative	F
345	8	clip	0	58	narrative	F
358	11	instruction	1	112	narrative	R
369	8	clip	1	112	narrative	R
382	7	instruction	0	57	narrative	F
389	8	clip	0	57	narrative	F
402	7	instruction	0	88	narrative	R
409	8	clip	0	88	narrative	R
422	7	instruction	0	32	narrative	F
429	8	clip	0	32	narrative	F
442	11	instruction	0	74	narrative	F
453	8	clip	0	74	narrative	F
466	7	instruction	1	64	narrative	F
473	8	clip	1	64	narrative	F
486	11	instruction	0	21	narrative	F
497	8	clip	0	21	narrative	F
510	7	instruction	1	29	narrative	R
517	8	clip	1	29	narrative	R
530	11	instruction	1	81	narrative	F
541	8	clip	1	81	narrative	F
554	9	instruction	0	96	narrative	X
563	8	clip	0	96	narrative	X
576	7	instruction	0	60	narrative	R
583	8	clip	0	60	narrative	R
596	7	instruction	1	63	narrative	F
603	8	clip	1	63	narrative	F
616	7	instruction	1	71	narrative	F
623	8	clip	1	71	narrative	F
636	9	instruction	1	4	narrative	F
645	8	clip	1	4	narrative	F
658	11	instruction	1	101	narrative	F
669	8	clip	1	101	narrative	F
682	7	instruction	1	65	narrative	F
689	8	clip	1	65	narrative	F
702	7	instruction	1	86	narrative	F
709	8	clip	1	86	narrative	F
722	9	instruction	1	85	narrative	F
731	8	clip	1	85	narrative	F
744	7	instruction	1	66	narrative	F
751	8	clip	1	66	narrative	F
764	11	instruction	1	80	narrative	F
775	8	clip	1	80	narrative	F
788	9	instruction	0	109	narrative	F
797	8	clip	0	109	narrative	F
810	9	instruction	0	97	narrative	X
819	8	clip	0	97	narrative	X
832	7	instruction	1	67	narrative	F
839	8	clip	1	67	narrative	F
852	7	instruction	0	23	narrative	R
859	8	clip	0	23	narrative	R
