onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	11	instruction	0	81	narrative	F
23	8	clip	0	81	narrative	F
36	11	instruction	1	139	narrative	F
47	8	clip	1	139	narrative	F
60	7	instruction	0	64	narrative	F
67	8	clip	0	64	narrative	F
80	11	instruction	1	100	narrative	F
91	8	clip	1	100	narrative	F
104	7	instruction	1	23	narrative	R
111	8	clip	1	23	narrative	R
124	7	instruction	0	71	narrative	F
131	8	clip	0	71	narrative	F
144	7	instruction	1	60	narrative	R
151	8	clip	1	60	narrative	R
164	9	instruction	0	4	narrative	F
173	8	clip	0	4	narrative	F
186	7	instruction	1	32	narrative	R
193	8	clip	1	32	narrative	R
206	9	instruction	0	123	narrative	F
215	8	clip	0	123	narrative	F
228	11	instruction	1	21	narrative	R
239	8	clip	1	21	narrative	R
252	9	instruction	0	83	narrative	F
261	8	clip	0	83	narrative	F
274	9	instruction	1	69	narrative	X
283	8	clip	1	69	narrative	X
296	7	instruction	0	65	narrative	F
303	8	clip	0	65	narrative	F
316	7	instruction	0	62	narrative	F
323	8	clip	0	62	narrative	F
336	7	instruction	0	67	narrative	F
343	8	clip	0	67	narrative	F
356	11	instruction	0	73	narrative	F
367	8	clip	0	73	narrative	F
380	11	instruction	0	112	narrative	R
391	8	clip	0	112	narrative	R
404	7	instruction	0	72	narrative	F
411	8	clip	0	72	narrative	F
424	7	instruction	0	29	narrative	F
431	8	clip	0	29	narrative	F
444	11	instruction	1	74	narrative	F
455	8	clip	1	74	narrative	F
468	7	instruction	0	66	narrative	F
475	8	clip	0	66	narrative	F
488	7	instruction	1	24	narrative	X
495	8	clip	1	24	narrative	X
508	9	instruction	1	109	narrative	X
517	8	clip	1	109	narrative	X
530	7	instruction	1	58	narrative	F
537	8	clip	1	58	narrative	F
550	7	instruction	1	88	narrative	R
557	8	clip	1	88	narrative	R
570	7	instruction	1	57	narrative	R
577	8	clip	1	57	narrative	R
590	9	instruction	0	85	narrative	X
599	8	clip	0	85	narrative	X
612	9	instruction	1	97	narrative	R
621	8	clip	1	97	narrative	R
634	7	instruction	0	86	narrative	F
641	8	clip	0	86	narrative	F
654	9	instruction	1	96	narrative	F
663	8	clip	1	96	narrative	F
676	7	instruction	1	61	narrative	R
683	8	clip	1	61	narrative	R
696	7	instruction	0	63	narrative	F
703	8	clip	0	63	narrative	F
716	11	instruction	0	80	narrative	F
727	8	clip	0	80	narrative	F
740	9	instruction	0	84	narrative	F
749	8	clip	0	84	narrative	F
762	7	instruction	1	87	narrative	F
769	8	clip	1	87	narrative	F
782	11	instruction	1	70	narrative	F
793	8	clip	1	70	narrative	F
806	9	instruction	1	82	narrative	F
815	8	clip	1	82	narrative	F
828	7	instruction	1	22	narrative	F
835	8	clip	1	22	narrative	F
848	11	instruction	0	101	narrative	F
859	8	clip	0	101	narrative	F
