onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	119	narrative	R
19	8	clip	1	119	narrative	R
32	7	instruction	0	113	narrative	R
39	8	clip	0	113	narrative	R
52	11	instruction	0	154	control	control
63	8	clip	0	154	control	control
76	7	instruction	1	118	narrative	F
83	8	clip	1	118	narrative	F
96	9	instruction	0	128	narrative	F
105	8	clip	0	128	narrative	F
118	11	instruction	1	153	control	control
129	8	clip	1	153	control	control
142	9	instruction	0	126	narrative	F
151	8	clip	0	126	narrative	F
164	7	instruction	1	122	narrative	R
171	8	clip	1	122	narrative	R
184	9	instruction	0	129	narrative	F
193	8	clip	0	129	narrative	F
206	7	instruction	0	110	narrative	R
213	8	clip	0	110	narrative	R
226	7	instruction	1	124	narrative	F
233	8	clip	1	124	narrative	F
246	7	instruction	1	117	narrative	R
253	8	clip	1	117	narrative	R
266	11	instruction	0	155	control	control
277	8	clip	0	155	control	control
290	7	instruction	0	115	narrative	R
297	8	clip	0	115	narrative	R
310	9	instruction	1	132	narrative	F
319	8	clip	1	132	narrative	F
332	11	instruction	1	140	narrative	F
343	8	clip	1	140	narrative	F
356	7	instruction	1	125	narrative	F
363	8	clip	1	125	narrative	F
376	9	instruction	0	127	narrative	F
385	8	clip	0	127	narrative	F
398	9	instruction	1	135	narrative	R
407	8	clip	1	135	narrative	R
420	11	instruction	1	151	control	control
431	8	clip	1	151	control	control
444	7	instruction	1	116	narrative	R
451	8	clip	1	116	narrative	R
464	7	instruction	0	111	narrative	F
471	8	clip	0	111	narrative	F
484	11	instruction	1	152	control	control
495	8	clip	1	152	control	control
508	7	instruction	0	106	narrative	F
515	8	clip	0	106	narrative	F
528	7	instruction	0	109	narrative	F
535	8	clip	0	109	narrative	F
548	7	instruction	1	123	narrative	F
555	8	clip	1	123	narrative	F
568	7	instruction	1	120	narrative	R
575	8	clip	1	120	narrative	R
588	7	instruction	0	114	narrative	R
595	8	clip	0	114	narrative	R
608	11	instruction	0	138	narrative	F
619	8	clip	0	138	narrative	F
632	7	instruction	0	107	narrative	F
639	8	clip	0	107	narrative	F
652	7	instruction	0	112	narrative	F
659	8	clip	0	112	narrative	F
672	11	instruction	1	139	narrative	F
683	8	clip	1	139	narrative	F
696	9	instruction	1	133	narrative	F
705	8	clip	1	133	narrative	F
718	7	instruction	0	108	narrative	F
725	8	clip	0	108	narrative	F
738	11	instruction	0	136	narrative	F
749	8	clip	0	136	narrative	F
762	7	instruction	1	121	narrative	F
769	8	clip	1	121	narrative	F
782	9	instruction	0	130	narrative	F
791	8	clip	0	130	narrative	F
804	9	instruction	1	134	narrative	R
813	8	clip	1	134	narrative	R
826	11	instruction	0	137	narrative	F
837	8	clip	0	137	narrative	F
850	9	instruction	1	131	narrative	F
859	8	clip	1	131	narrative	F
