onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	9	instruction	0	28	narrative	F
21	8	clip	0	28	narrative	F
34	7	instruction	0	12	narrative	R
41	8	clip	0	12	narrative	R
54	7	instruction	0	18	narrative	F
61	8	clip	0	18	narrative	F
74	9	instruction	0	7	narrative	F
83	8	clip	0	7	narrative	F
96	7	instruction	1	20	narrative	R
103	8	clip	1	20	narrative	R
116	7	instruction	0	2	narrative	F
123	8	clip	0	2	narrative	F
136	11	instruction	1	21	narrative	R
147	8	clip	1	21	narrative	R
160	9	instruction	0	5	narrative	F
169	8	clip	0	5	narrative	F
182	9	instruction	0	6	narrative	F
191	8	clip	0	6	narrative	F
204	7	instruction	0	35	narrative	F
211	8	clip	0	35	narrative	F
224	7	instruction	1	1	narrative	R
231	8	clip	1	1	narrative	R
244	7	instruction	0	31	narrative	F
251	8	clip	0	31	narrative	F
264	7	instruction	1	14	narrative	F
271	8	clip	1	14	narrative	F
284	7	instruction	1	16	narrative	F
291	8	clip	1	16	narrative	F
304	11	instruction	1	15	narrative	F
315	8	clip	1	15	narrative	F
328	7	instruction	1	17	narrative	F
335	8	clip	1	17	narrative	F
348	9	instruction	1	22	narrative	R
357	8	clip	1	22	narrative	R
370	7	instruction	1	33	narrative	R
377	8	clip	1	33	narrative	R
390	7	instruction	1	25	narrative	F
397	8	clip	1	25	narrative	F
410	11	instruction	1	10	narrative	R
421	8	clip	1	10	narrative	R
434	7	instruction	0	30	narrative	F
441	8	clip	0	30	narrative	F
454	9	instruction	0	27	narrative	F
463	8	clip	0	27	narrative	F
476	7	instruction	1	34	narrative	F
483	8	clip	1	34	narrative	F
496	7	instruction	0	3	narrative	R
503	8	clip	0	3	narrative	R
516	11	instruction	1	142	control	control
527	8	clip	1	142	control	control
540	11	instruction	0	143	control	control
551	8	clip	0	143	control	control
564	7	instruction	0	11	narrative	F
571	8	clip	0	11	narrative	F
584	7	instruction	0	8	narrative	F
591	8	clip	0	8	narrative	F
604	9	instruction	1	32	narrative	F
613	8	clip	1	32	narrative	F
626	9	instruction	1	24	narrative	R
635	8	clip	1	24	narrative	R
648	9	instruction	1	23	narrative	R
657	8	clip	1	23	narrative	R
670	9	instruction	1	19	narrative	F
679	8	clip	1	19	narrative	F
692	7	instruction	1	13	narrative	F
699	8	clip	1	13	narrative	F
712	7	instruction	1	26	narrative	R
719	8	clip	1	26	narrative	R
732	11	instruction	0	145	control	control
743	8	clip	0	145	control	control
756	11	instruction	0	4	narrative	F
767	8	clip	0	4	narrative	F
780	11	instruction	1	141	control	control
791	8	clip	1	141	control	control
804	11	instruction	0	29	narrative	F
815	8	clip	0	29	narrative	F
828	7	instruction	0	9	narrative	X
835	8	clip	0	9	narrative	X
848	11	instruction	0	144	control	control
859	8	clip	0	144	control	control
