onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	9	instruction	0	55	narrative	F
21	8	clip	0	55	narrative	F
34	7	instruction	0	68	narrative	F
41	8	clip	0	68	narrative	F
54	11	instruction	0	159	control	control
65	8	clip	0	159	control	control
78	11	instruction	0	63	narrative	F
89	8	clip	0	63	narrative	F
102	7	instruction	0	39	narrative	F
109	8	clip	0	39	narrative	F
122	7	instruction	0	49	narrative	F
129	8	clip	0	49	narrative	F
142	7	instruction	1	50	narrative	F
149	8	clip	1	50	narrative	F
162	11	instruction	1	157	control	control
173	8	clip	1	157	control	control
186	11	instruction	1	158	control	control
197	8	clip	1	158	control	control
210	7	instruction	1	42	narrative	R
217	8	clip	1	42	narrative	R
230	9	instruction	1	62	narrative	R
239	8	clip	1	62	narrative	R
252	7	instruction	0	44	narrative	F
259	8	clip	0	44	narrative	F
272	7	instruction	0	46	narrative	F
279	8	clip	0	46	narrative	F
292	9	instruction	0	58	narrative	F
301	8	clip	0	58	narrative	F
314	7	instruction	0	36	narrative	F
321	8	clip	0	36	narrative	F
334	7	instruction	1	41	narrative	R
341	8	clip	1	41	narrative	R
354	9	instruction	0	56	narrative	X
363	8	clip	0	56	narrative	X
376	7	instruction	1	59	narrative	F
383	8	clip	1	59	narrative	F
396	7	instruction	0	47	narrative	F
403	8	clip	0	47	narrative	F
416	11	instruction	1	70	narrative	F
427	8	clip	1	70	narrative	F
440	7	instruction	0	45	narrative	X
447	8	clip	0	45	narrative	X
460	11	instruction	1	48	narrative	R
471	8	clip	1	48	narrative	R
484	9	instruction	1	61	narrative	R
493	8	clip	1	61	narrative	R
506	11	instruction	0	160	control	control
517	8	clip	0	160	control	control
530	7	instruction	1	53	narrative	F
537	8	clip	1	53	narrative	F
550	9	instruction	1	67	narrative	X
559	8	clip	1	67	narrative	X
572	9	instruction	1	66	narrative	X
581	8	clip	1	66	narrative	X
594	7	instruction	1	51	narrative	F
601	8	clip	1	51	narrative	F
614	9	instruction	1	65	narrative	R
623	8	clip	1	65	narrative	R
636	7	instruction	0	38	narrative	F
643	8	clip	0	38	narrative	F
656	11	instruction	0	64	narrative	F
667	8	clip	0	64	narrative	F
680	7	instruction	1	54	narrative	F
687	8	clip	1	54	narrative	F
700	9	instruction	0	60	narrative	F
709	8	clip	0	60	narrative	F
722	7	instruction	1	43	narrative	R
729	8	clip	1	43	narrative	R
742	11	instruction	1	156	control	control
753	8	clip	1	156	control	control
766	9	instruction	0	57	narrative	F
775	8	clip	0	57	narrative	F
788	11	instruction	0	69	narrative	R
799	8	clip	0	69	narrative	R
812	7	instruction	0	40	narrative	X
819	8	clip	0	40	narrative	X
832	7	instruction	1	37	narrative	F
839	8	clip	1	37	narrative	F
852	7	instruction	1	52	narrative	F
859	8	clip	1	52	narrative	F
