onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	11	instruction	0	51	narrative	F
23	8	clip	0	51	narrative	F
36	7	instruction	0	78	narrative	R
43	8	clip	0	78	narrative	R
56	11	instruction	0	56	narrative	F
67	8	clip	0	56	narrative	F
80	11	instruction	1	53	narrative	F
91	8	clip	1	53	narrative	F
104	7	instruction	0	98	narrative	F
111	8	clip	0	98	narrative	F
124	7	instruction	1	38	narrative	F
131	8	clip	1	38	narrative	F
144	9	instruction	1	46	narrative	R
153	8	clip	1	46	narrative	R
166	7	instruction	0	39	narrative	F
173	8	clip	0	39	narrative	F
186	7	instruction	1	126	narrative	R
193	8	clip	1	126	narrative	R
206	7	instruction	0	122	narrative	F
213	8	clip	0	122	narrative	F
226	7	instruction	0	110	narrative	X
233	8	clip	0	110	narrative	X
246	9	instruction	1	140	narrative	F
255	8	clip	1	140	narrative	F
268	7	instruction	1	44	narrative	F
275	8	clip	1	44	narrative	F
288	11	instruction	0	55	narrative	F
299	8	clip	0	55	narrative	F
312	9	instruction	0	37	narrative	F
321	8	clip	0	37	narrative	F
334	7	instruction	1	77	narrative	F
341	8	clip	1	77	narrative	F
354	9	instruction	0	42	narrative	F
363	8	clip	0	42	narrative	F
376	7	instruction	1	27	narrative	F
383	8	clip	1	27	narrative	F
396	7	instruction	0	121	narrative	F
403	8	clip	0	121	narrative	F
416	7	instruction	0	40	narrative	F
423	8	clip	0	40	narrative	F
436	7	instruction	1	28	narrative	F
443	8	clip	1	28	narrative	F
456	9	instruction	1	134	narrative	R
465	8	clip	1	134	narrative	R
478	11	instruction	0	59	narrative	F
489	8	clip	0	59	narrative	F
502	9	instruction	1	49	narrative	R
511	8	clip	1	49	narrative	R
524	7	instruction	0	45	narrative	F
531	8	clip	0	45	narrative	F
544	7	instruction	1	125	narrative	R
551	8	clip	1	125	narrative	R
564	7	instruction	0	6	narrative	F
571	8	clip	0	6	narrative	F
584	9	instruction	0	19	narrative	F
593	8	clip	0	19	narrative	F
606	7	instruction	1	102	narrative	R
613	8	clip	1	102	narrative	R
626	9	instruction	0	136	narrative	F
635	8	clip	0	136	narrative	F
648	7	instruction	1	76	narrative	R
655	8	clip	1	76	narrative	R
668	11	instruction	1	138	narrative	F
679	8	clip	1	138	narrative	F
692	7	instruction	0	5	narrative	F
699	8	clip	0	5	narrative	F
712	7	instruction	1	7	narrative	R
719	8	clip	1	7	narrative	R
732	11	instruction	1	52	narrative	F
743	8	clip	1	52	narrative	F
756	11	instruction	1	129	narrative	R
767	8	clip	1	129	narrative	R
780	9	instruction	0	41	narrative	F
789	8	clip	0	41	narrative	F
802	9	instruction	1	50	narrative	R
811	8	clip	1	50	narrative	R
824	11	instruction	1	43	narrative	R
835	8	clip	1	43	narrative	R
848	11	instruction	0	54	narrative	F
859	8	clip	0	54	narrative	F
