onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	9	narrative	F
19	8	clip	1	9	narrative	F
32	11	instruction	0	154	control	control
43	8	clip	0	154	control	control
56	7	instruction	1	10	narrative	F
63	8	clip	1	10	narrative	F
76	7	instruction	0	11	narrative	F
83	8	clip	0	11	narrative	F
96	9	instruction	1	22	narrative	R
105	8	clip	1	22	narrative	R
118	7	instruction	1	7	narrative	F
125	8	clip	1	7	narrative	F
138	7	instruction	1	2	narrative	R
145	8	clip	1	2	narrative	R
158	7	instruction	0	14	narrative	R
165	8	clip	0	14	narrative	R
178	9	instruction	0	27	narrative	F
187	8	clip	0	27	narrative	F
200	9	instruction	0	28	narrative	F
209	8	clip	0	28	narrative	F
222	11	instruction	0	35	narrative	F
233	8	clip	0	35	narrative	F
246	9	instruction	1	21	narrative	F
255	8	clip	1	21	narrative	F
268	7	instruction	0	16	narrative	R
275	8	clip	0	16	narrative	R
288	9	instruction	0	29	narrative	F
297	8	clip	0	29	narrative	F
310	9	instruction	1	24	narrative	F
319	8	clip	1	24	narrative	F
332	11	instruction	1	31	narrative	R
343	8	clip	1	31	narrative	R
356	7	instruction	1	8	narrative	F
363	8	clip	1	8	narrative	F
376	7	instruction	0	17	narrative	R
383	8	clip	0	17	narrative	R
396	7	instruction	1	5	narrative	F
403	8	clip	1	5	narrative	F
416	7	instruction	0	19	narrative	F
423	8	clip	0	19	narrative	F
436	9	instruction	1	23	narrative	X
445	8	clip	1	23	narrative	X
458	11	instruction	0	34	narrative	F
469	8	clip	0	34	narrative	F
482	7	instruction	0	20	narrative	F
489	8	clip	0	20	narrative	F
502	9	instruction	1	25	narrative	F
511	8	clip	1	25	narrative	F
524	7	instruction	0	13	narrative	R
531	8	clip	0	13	narrative	R
544	7	instruction	0	12	narrative	F
551	8	clip	0	12	narrative	F
564	7	instruction	0	18	narrative	F
571	8	clip	0	18	narrative	F
584	11	instruction	0	155	control	control
595	8	clip	0	155	control	control
608	11	instruction	1	151	control	control
619	8	clip	1	151	control	control
632	11	instruction	1	153	control	control
643	8	clip	1	153	control	control
656	7	instruction	1	1	narrative	X
663	8	clip	1	1	narrative	X
676	7	instruction	0	15	narrative	F
683	8	clip	0	15	narrative	F
696	9	instruction	0	30	narrative	F
705	8	clip	0	30	narrative	F
718	11	instruction	1	32	narrative	R
729	8	clip	1	32	narrative	R
742	7	instruction	1	3	narrative	R
749	8	clip	1	3	narrative	R
762	7	instruction	1	4	narrative	F
769	8	clip	1	4	narrative	F
782	7	instruction	1	6	narrative	F
789	8	clip	1	6	narrative	F
802	11	instruction	0	33	narrative	R
813	8	clip	0	33	narrative	R
826	11	instruction	1	152	control	control
837	8	clip	1	152	control	control
850	9	instruction	0	26	narrative	R
859	8	clip	0	26	narrative	R
