onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	9	instruction	0	23	narrative	X
21	8	clip	0	23	narrative	X
34	7	instruction	0	1	narrative	R
41	8	clip	0	1	narrative	R
54	7	instruction	1	31	narrative	F
61	8	clip	1	31	narrative	F
74	7	instruction	0	26	narrative	R
81	8	clip	0	26	narrative	R
94	11	instruction	1	148	control	control
105	8	clip	1	148	control	control
118	11	instruction	0	15	narrative	F
129	8	clip	0	15	narrative	F
142	7	instruction	0	25	narrative	F
149	8	clip	0	25	narrative	F
162	11	instruction	0	10	narrative	R
173	8	clip	0	10	narrative	R
186	7	instruction	0	34	narrative	F
193	8	clip	0	34	narrative	F
206	7	instruction	0	14	narrative	F
213	8	clip	0	14	narrative	F
226	7	instruction	0	13	narrative	F
233	8	clip	0	13	narrative	F
246	11	instruction	1	4	narrative	F
257	8	clip	1	4	narrative	F
270	7	instruction	1	8	narrative	F
277	8	clip	1	8	narrative	F
290	9	instruction	0	19	narrative	R
299	8	clip	0	19	narrative	R
312	7	instruction	0	20	narrative	R
319	8	clip	0	20	narrative	R
332	7	instruction	1	18	narrative	X
339	8	clip	1	18	narrative	X
352	7	instruction	1	9	narrative	F
359	8	clip	1	9	narrative	F
372	7	instruction	0	33	narrative	R
379	8	clip	0	33	narrative	R
392	9	instruction	1	28	narrative	F
401	8	clip	1	28	narrative	F
414	11	instruction	1	29	narrative	R
425	8	clip	1	29	narrative	R
438	9	instruction	1	7	narrative	F
447	8	clip	1	7	narrative	F
460	9	instruction	1	5	narrative	F
469	8	clip	1	5	narrative	F
482	9	instruction	0	22	narrative	X
491	8	clip	0	22	narrative	X
504	7	instruction	1	11	narrative	R
511	8	clip	1	11	narrative	R
524	7	instruction	1	30	narrative	X
531	8	clip	1	30	narrative	X
544	7	instruction	1	35	narrative	F
551	8	clip	1	35	narrative	F
564	11	instruction	0	150	control	control
575	8	clip	0	150	control	control
588	7	instruction	0	17	narrative	F
595	8	clip	0	17	narrative	F
608	9	instruction	1	27	narrative	F
617	8	clip	1	27	narrative	F
630	7	instruction	1	2	narrative	R
637	8	clip	1	2	narrative	R
650	9	instruction	1	6	narrative	F
659	8	clip	1	6	narrative	F
672	11	instruction	0	21	narrative	F
683	8	clip	0	21	narrative	F
696	11	instruction	1	147	control	control
707	8	clip	1	147	control	control
720	11	instruction	0	149	control	control
731	8	clip	0	149	control	control
744	9	instruction	0	24	narrative	F
753	8	clip	0	24	narrative	F
766	7	instruction	1	3	narrative	X
773	8	clip	1	3	narrative	X
786	11	instruction	1	146	control	control
797	8	clip	1	146	control	control
810	9	instruction	0	32	narrative	F
819	8	clip	0	32	narrative	F
832	7	instruction	1	12	narrative	R
839	8	clip	1	12	narrative	R
852	7	instruction	0	16	narrative	F
859	8	clip	0	16	narrative	F
