onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	0	109	narrative	R
19	8	clip	0	109	narrative	R
32	7	instruction	1	125	narrative	R
39	8	clip	1	125	narrative	R
52	9	instruction	1	137	narrative	R
61	8	clip	1	137	narrative	R
74	7	instruction	0	136	narrative	F
81	8	clip	0	136	narrative	F
94	7	instruction	0	129	narrative	R
101	8	clip	0	129	narrative	R
114	7	instruction	0	134	narrative	R
121	8	clip	0	134	narrative	R
134	7	instruction	1	122	narrative	F
141	8	clip	1	122	narrative	F
154	9	instruction	1	120	narrative	R
163	8	clip	1	120	narrative	R
176	7	instruction	0	123	narrative	F
183	8	clip	0	123	narrative	F
196	7	instruction	1	130	narrative	R
203	8	clip	1	130	narrative	R
216	9	instruction	0	117	narrative	F
225	8	clip	0	117	narrative	F
238	9	instruction	1	113	narrative	R
247	8	clip	1	113	narrative	R
260	7	instruction	1	121	narrative	R
267	8	clip	1	121	narrative	R
280	9	instruction	0	118	narrative	F
289	8	clip	0	118	narrative	F
302	7	instruction	1	106	narrative	R
309	8	clip	1	106	narrative	R
322	11	instruction	0	155	control	control
333	8	clip	0	155	control	control
346	9	instruction	1	108	narrative	R
355	8	clip	1	108	narrative	R
368	7	instruction	1	126	narrative	R
375	8	clip	1	126	narrative	R
388	9	instruction	0	111	narrative	F
397	8	clip	0	111	narrative	F
410	11	instruction	1	131	narrative	R
421	8	clip	1	131	narrative	R
434	7	instruction	0	139	narrative	X
441	8	clip	0	139	narrative	X
454	9	instruction	1	107	narrative	R
463	8	clip	1	107	narrative	R
476	7	instruction	0	140	narrative	F
483	8	clip	0	140	narrative	F
496	7	instruction	1	115	narrative	F
503	8	clip	1	115	narrative	F
516	11	instruction	1	151	control	control
527	8	clip	1	151	control	control
540	11	instruction	0	154	control	control
551	8	clip	0	154	control	control
564	7	instruction	1	135	narrative	R
571	8	clip	1	135	narrative	R
584	7	instruction	1	128	narrative	R
591	8	clip	1	128	narrative	R
604	7	instruction	0	110	narrative	R
611	8	clip	0	110	narrative	R
624	11	instruction	0	127	narrative	R
635	8	clip	0	127	narrative	R
648	7	instruction	0	138	narrative	F
655	8	clip	0	138	narrative	F
668	9	instruction	0	119	narrative	F
677	8	clip	0	119	narrative	F
690	11	instruction	0	124	narrative	F
701	8	clip	0	124	narrative	F
714	11	instruction	1	152	control	control
725	8	clip	1	152	control	control
738	11	instruction	1	132	narrative	F
749	8	clip	1	132	narrative	F
762	7	instruction	0	112	narrative	R
769	8	clip	0	112	narrative	R
782	11	instruction	1	133	narrative	F
793	8	clip	1	133	narrative	F
806	7	instruction	1	114	narrative	F
813	8	clip	1	114	narrative	F
826	11	instruction	0	153	control	control
837	8	clip	0	153	control	control
850	9	instruction	0	116	narrative	F
859	8	clip	0	116	narrative	F
